planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
EPIC 211939692.01,Candidate,26.8549,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,nan,Not in HZ,4.785463648234639,3.7880774092995004,2.177364148871972,2.064349480332634
EPIC 211939692.02,Candidate,39.553,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,nan,Not in HZ,4.785463648234639,3.7880774092995004,2.177364148871972,2.064349480332634
EPIC 211939692.03,Candidate,230.0,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,nan,Not in HZ,4.785463648234639,3.7880774092995004,2.177364148871972,2.064349480332634
EPIC 211939692.04,Candidate,293.0,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,nan,Not in HZ,4.785463648234639,3.7880774092995004,2.177364148871972,2.064349480332634
eps Crv b,Candidate,31.50675256,0.305,eps Crv,2.98,4314.0,302.4853135,5028.154184,,nan,Conservative HZ,2.1387353404478797,1.6939797950897704,0.9079968675577511,0.8608886215915668
eps Crv c,Candidate,2.29170595,0.053,eps Crv,2.98,4314.0,302.4853135,5028.154184,,nan,Not in HZ,2.1387353404478797,1.6939797950897704,0.9079968675577511,0.8608886215915668
EX Dra AB b,Candidate,3286.203561,9.83,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
EX Dra AB c,Candidate,3286.203561,3.18,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
Exocomet beta Pic 1,Candidate,3286.203561,16.13423714,beta Pic,3.86,8052.0,19.3,9.101534466,,nan,Not in HZ,2.876314377561869,2.2762418371258426,1.321699828979358,1.2531667161520263
Exocomet beta Pic 2,Candidate,3286.203561,5.5,beta Pic,3.86,8052.0,19.3,9.101534466,,nan,Not in HZ,2.876314377561869,2.2762418371258426,1.321699828979358,1.2531667161520263
Exocomet KIC 3542116 1,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 2,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 3,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 4,Candidate,3286.203561,0.6,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 5,Candidate,3286.203561,0.6,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 6,Candidate,3286.203561,5.5,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Not in HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 7,Candidate,3286.203561,5.5,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Not in HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exocomet KIC 3542116 8,Candidate,3286.203561,0.6,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,nan,Conservative HZ,4.466933077194704,3.53547591947917,2.045161232590439,1.9390282759339075
Exomoon HIP 41378 f-i,Candidate,3286.203561,16.13423714,HIP 41378,8.9,6199.0,116.0,3.168954316,,nan,Not in HZ,4.0674247086444595,3.219896689451036,1.8436147105623508,1.7479183389644257
GG Tau Ac,Candidate,3286.203561,290.0,GG Tau A,13.4,4060.0,150.0,0.083981286,,nan,Not in HZ,4.504498693929228,3.567937308458961,1.8888455977991214,1.7908707321859794
