planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
EX Dra AB c,Candidate,3286.203561,3.18,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668
Exocomet beta Pic 1,Candidate,3286.203561,16.13423714,beta Pic,3.86,8052,19.3,9.101534466
Exocomet beta Pic 2,Candidate,3286.203561,5.5,beta Pic,3.86,8052,19.3,9.101534466
Exocomet KIC 3542116 1,Candidate,3286.203561,1,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 2,Candidate,3286.203561,1,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 3,Candidate,3286.203561,1,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 4,Candidate,3286.203561,0.6,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 5,Candidate,3286.203561,0.6,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 6,Candidate,3286.203561,5.5,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 7,Candidate,3286.203561,5.5,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exocomet KIC 3542116 8,Candidate,3286.203561,0.6,KIC 3542116,9.885491525,6925,227.7,4.926397499
Exomoon HIP 41378 f-i,Candidate,3286.203561,16.13423714,HIP 41378,8.9,6199,116,3.168954316
GG Tau Ac,Candidate,3286.203561,290,GG Tau A,13.4,4060,150,0.083981286
GG Tau Ad,Candidate,3286.203561,450,GG Tau A,13.4,4060,150,0.083981286
GG Tau Ae,Candidate,3286.203561,600,GG Tau A,13.4,4060,150,0.083981286
GJ 620 b,Candidate,7.652,0.063,GJ 620,10,5688.237937,16.54,0.023392197
GJ 620 c,Candidate,27.219,0.148,GJ 620,10,5688.237937,16.54,0.023392197
GJ 667 Cd,Candidate,91.61,0.276,GJ 667 C,10.22,3600,6.84,0.003266722
GJ 667 Ch,Candidate,16.946,0.0893,GJ 667 C,10.22,3600,6.84,0.003266722
GJ 739 b,Candidate,45.323,0.21,GJ 739,11,5688.237937,14.15,0.006815738
GJ 739 c,Candidate,266.489,0.687,GJ 739,11,5688.237937,14.15,0.006815738
GJ 739 d,Candidate,138.73,16.13423714,GJ 739,11,5688.237937,14.15,0.006815738
GM Aur b,Candidate,3286.203561,2.5,GM Aur,12.24,4287,155,0.261013756
GM Aur c,Candidate,3286.203561,18,GM Aur,12.24,4287,155,0.261013756
GM Aur d,Candidate,3286.203561,62,GM Aur,12.24,4287,155,0.261013756
GM Aur e,Candidate,8.745,0.082,GM Aur,12.24,4287,155,0.261013756
GY 11 d,Candidate,3286.203561,69,GY 91,9.885491525,3300,137,1.783382596
GY 91 b,Candidate,3286.203561,7,GY 91,9.885491525,3300,137,1.783382596
GY 91 c,Candidate,3286.203561,40,GY 91,9.885491525,3300,137,1.783382596
HD 100546 c,Candidate,3286.203561,13,HD 100546,6.7,11000,110,21.61649966
HD 100546 d,Candidate,3286.203561,7.8,HD 100546,6.7,11000,110,21.61649966
HD 100546 e,Candidate,3286.203561,20.5,HD 100546,6.7,11000,110,21.61649966
HD 100546 f,Candidate,3286.203561,15,HD 100546,6.7,11000,110,21.61649966
HD 100546 g,Candidate,3286.203561,110,HD 100546,6.7,11000,110,21.61649966
HD 10180 b,Candidate,1.17768,0.02225,HD 10180,7.33,5911,39.4,1.55236
