planet_name,semi_major_axis,star_distance,star_temperature,mag_v,absolute_magnitude,luminosity
82 Eri c,0.225,6.06,5490.0,4.26,5.347636879168569,0.6207907659729459
82 Eri d,0.364,6.06,5490.0,4.26,5.347636879168569,0.6207907659729459
82 Eri e,0.509,6.06,5490.0,4.26,5.347636879168569,0.6207907659729459
8 Umi b,0.462,159.1,4847.4,6.83,0.8216491017670915,40.118100251061634
94 Cet Ab,1.305,22.38,5984.0,5.07,3.3206995890383446,4.015320022118317
AB Pic b,275.0,47.3,5285.0,9.16,5.785694296310943,0.41468877657497194
ADS 11163 Ab,0.057,137.9,5914.22,9.9,4.202178669120752,1.7829063524125373
AE 1 b,0.0002468,347.0,14000.0,14.42,6.7183526260456325,0.17565436626549422
AF Lep b,8.2,26.843,6130.0,6.3,4.155844743067159,1.86063892720786
AL Com b,0.00249,614.018,16300.0,16.2,7.259094486426974,0.10674860428544282
alf Ari b,1.2,20.2,4553.0,2.01,0.4832431527668817,54.79018147426938
AS 205 Ab,0.162,140.0,4300.0,12.4,6.6693598216088095,0.1837621533574726
ASASSN-16kr b,0.003,160.5,10000.0,19.0,12.972624816295545,0.0005532864997122111
ASASSN-17jf b,0.0026,286.0,10500.0,20.0,12.718169834354784,0.0006994103684711558
AU Mic b,0.07,9.79,3700.0,8.6,8.64608654098431,0.029755371962053308
AU Mic c,0.119,9.79,3700.0,8.6,8.64608654098431,0.029755371962053308
Barnard's star b,0.02294,1.82823,3195.0,9.5,13.189845844303608,0.00045296188806442033
BD+03 2562 b,1.3,2618.0,4095.0,9.58,-2.5098482110736864,862.8579094105944
BD-06 1339 c,0.435,20.0,4324.0,6.69,5.184850021680094,0.7212070963438275
BD-06 1339 d,1.06,20.0,4324.0,6.69,5.184850021680094,0.7212070963438275
BD-06 1339 e,0.03,20.0,4324.0,6.69,5.184850021680094,0.7212070963438275
BD-08 2823 b,0.056,42.2,4746.0,9.86,6.73343774519163,0.17323071659909722
BD-08 2823 c,0.68,42.2,4746.0,9.86,6.73343774519163,0.17323071659909722
BD-10 3166 b,0.046,66.0,5400.0,10.08,5.982280322290656,0.3460093790458973
BD-11 4672 b,2.36,27.3,4475.0,10.02,7.839186764796219,0.06256411333530422
BD-11 4672 c,0.3,27.3,4475.0,10.02,7.839186764796219,0.06256411333530422
BD+14 4559 b,0.777,50.0,5008.0,9.63,6.135149978319907,0.30056610865435296
BD+15 2375 b,0.576,774.0,4649.0,10.3,0.8562951965855383,38.858132191234404
BD+15 2940 b,0.539,585.0,4796.0,9.19,0.3542206695890968,61.70377463656666
BD-17 63 b,1.34,34.6,4714.0,9.62,6.924619506036116,0.14526205962226532
BD+20 2457 b,1.45,1670.0,4127.0,9.75,-1.3635823557379183,300.2153834292253
BD+20 2457 c,2.01,1670.0,4127.0,9.75,-1.3635823557379183,300.2153834292253
BD+20 594 b,0.241,180.39,5766.0,11.0,4.718937707174192,1.107707043223211
BD-21 397 c,5.9,23.74,4051.0,9.8,7.922596426907139,0.0579377238221983
BD+24 4329 b,38000.0,34.0705,4483.0,9.84,7.178107464586856,0.11501567013223297
BD+24 4697 b,0.5,44.7922,5077.0,9.74,6.483988031782358,0.2179740468582698
BD+26 1888 b,1.19,38.0,4748.0,9.76,6.861082016915949,0.1540164799056492
BD+48 740 b,1.7,678.933,4534.0,8.7,-0.4591345918297236,130.51301928133316
BD+49 2561 (AB)b,3000.0,57.3151,4967.0,10.13,6.3386547276194865,0.24919430274313267
BD+63 1405 Ab,2.06,38.09,5073.0,8.96,6.05594513669527,0.32331209022920343
beta Cnc Ab,1.7,92.99,3990.0,3.5,-1.3421812385585241,294.3557307531936
bet And b,2.03,60.45,3802.0,2.0,-1.9069815259839533,495.21365385866886
beta Pic b,9.93,19.3,8052.0,3.86,2.4322134549611305,9.101534465729783
beta Pic c,2.68,19.3,8052.0,3.86,2.4322134549611305,9.101534465729783
beta Umi b,1.4,40.14,4126.0,2.08,-0.9378868407573329,202.84052984208333
[BHB2007]-1 b,50.0,166.0,4060.0,15.0,8.899459559799725,0.02356221834025032
BPS CS 22963-0014 b,4200.0,67.1162,4085.62,12.143,8.008863202326266,0.053512435708706396
CD-24 407 b,6900.0,67.7595,5171.0,9.99,5.835149036707447,0.3962236417429055
CD-25 11378 b,1855.0,155.198,5045.85,10.38,4.425569398461331,1.45135027855757
CD-26 134 b,2600.0,87.5564,4876.0,11.45,6.7385605167149265,0.17241529649042556
CD-35 2722 b,67.0,21.3,3680.0,10.98,9.338101982806311,0.01573110416818091
CD-42 11721 b,835.0,1398.97,26000.0,11.0,0.2709579928523471,66.62186757339127
CD Cet b,0.0185,8.609,3130.0,12.0,12.325236460910709,0.00100439702028857
CFHT-BD-Tau 7 b,31.4,140.0,2823.0,18.2,12.469359821608808,0.0008795409642689399
Cha Ha 8 b,1.02,196.76,2967.0,20.1,13.630315930563533,0.0003019073094226037
chi Sco b,1.45,116.0,4157.0,5.24,-0.08228994613459228,92.23929575147015
chi Vir b,2.14,90.0,4445.0,4.66,-0.1112125471966241,94.72945067260956
chi Vir c,0.64,90.0,4445.0,4.66,-0.1112125471966241,94.72945067260956
CIDA 1 b,10.3,137.5,3050.0,15.0,9.308486509168592,0.016166105040476053
COCONUTS-2 b,6471.0,10.89,3406.0,11.3,11.114860601221125,0.0030623565875375716
COCONUTS-3 b,1891.0,30.88,2966.0,15.0,12.551613541681508,0.0008153697276989828
CoRoT-10 b,0.1055,345.0,5075.0,15.22,7.53090452463363,0.08310711189528523
CoRoT-11 b,0.04351,560.0,6343.0,12.94,4.199059864968998,1.7880351578724243
CoRoT-12 b,0.04016,1150.0,5675.0,15.52,5.2165107982319405,0.7004799045467182
CoRoT-13 b,0.051,1310.0,5945.0,15.04,4.453643521721176,1.4143034191738166
CoRoT-14 b,0.027,1340.0,6035.0,16.03,5.394476008175962,0.5945790417341404
CoRoT-15 b,0.045,1270.0,6350.0,15.92,5.4009813952202155,0.5910271641494904
CoRoT-16 b,0.0618,840.0,5650.0,15.64,6.018603569690592,0.33462514479962846
CoRoT-17 b,0.0461,920.0,5740.0,15.46,5.641060863272225,0.4737788339054608
CoRoT-18 b,0.0295,870.0,5440.0,14.99,5.292403736906907,0.6531884628048199
CoRoT-19 b,0.0518,800.0,6090.0,14.78,5.264550065040281,0.6701622707525766
CoRoT-1 b,0.0254,460.0,6298.0,13.6,5.28621084159213,0.6569248088479599
CoRoT-20 b,0.0902,1230.0,5880.0,14.66,4.21047444280301,1.7693356286739637
CoRoT-20 c,2.9,1230.0,5880.0,14.66,4.21047444280301,1.7693356286739637
CoRoT-21 b,0.0417,1400.0,6200.0,16.0,5.269359821608809,0.6672000518139622
CoRoT-22 b,0.092,592.0,5939.0,11.93,3.0683914663853997,5.065746038147014
CoRoT-23 b,0.0477,600.0,5900.0,15.63,6.739243748081783,0.17230683323614956
CoRoT-25 b,0.0578,1000.0,6040.0,15.0,5.0,0.8550667128846834
CoRoT-26 b,0.0526,1670.0,5590.0,15.76,4.6464176442620815,1.1842215018898743
CoRoT-28 b,0.059,560.0,5150.0,13.49,4.749059864968999,1.0773977246140063
CoRoT-29 b,0.039,765.0,5260.0,15.35,5.931692824231911,0.36251240316180966
CoRoT-2 Ab,0.0281,213.283,5529.0,12.57,5.925218795899145,0.36468044967395874
CoRoT-30 b,0.0844,960.0,5660.0,15.65,5.738643834802158,0.4330544104905666
CoRoT-31 b,0.0586,2190.0,5370.0,15.7,3.9977794257994077,2.1522277646582966
CoRoT-35 b,0.0429,1140.0,6390.0,15.7,5.415475743317636,0.5831895087570993
CoRoT-36 b,0.066,954.0,6730.0,13.1,3.2022581264795242,4.478130540562596
CoRoT-3 Ab,0.057,768.771,6558.0,13.3,3.8710150386221223,2.418766720377588
CoRoT-5 b,0.04947,400.0,6100.0,14.0,5.9897000433601875,0.3436528758608856
CoRoT-7 Ab,0.0172,150.0,5313.0,11.7,5.8195437047215925,0.40195970434171185
CoRoT-7 Ac,0.046,150.0,5313.0,11.7,5.8195437047215925,0.40195970434171185
