planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
sun b,Confirmed,88,0.3870993,sun,4.83,5780,4.85E-06,sun b,1 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun c,Confirmed,225,0.723336,sun,4.83,5780,4.85E-06,sun c,1 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun d,Confirmed,365,1.000003,sun,4.83,5780,4.85E-06,sun d,1 to 1,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun e,Confirmed,687,1.52371,sun,4.83,5780,4.85E-06,sun e,1 to 1,1,Conservative HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun f,Confirmed,4333,5.2029,sun,4.83,5780,4.85E-06,sun f,1 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun g,Confirmed,10759,9.537,sun,4.83,5780,4.85E-06,sun g,1 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun h,Confirmed,30687,19.189,sun,4.83,5780,4.85E-06,sun h,1 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
sun i,Confirmed,60190,30.0699,sun,4.83,5780,4.85E-06,sun i,1 to 1,1,Not in HZ,0.752496788,0.950443248,1.676003808,1.767766953,1.766,1.107,0.356,0.32
