planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,predicted_habitable_zone_status_Random Forest,predicted_habitable_zone_status_Decision Tree,predicted_habitable_zone_status_K-Neighbors,predicted_habitable_zone_status_SVM,HZ_distance_HZ_distance_recent_venus_Random Forest_prediction,HZ_distance_HZ_distance_recent_venus_Decision Tree_prediction,HZ_distance_HZ_distance_recent_venus_K-Neighbors_prediction,HZ_distance_HZ_distance_recent_venus_SVM_prediction,HZ_distance_HZ_distance_recent_venus_Linear Regression_prediction,HZ_distance_HZ_distance_recent_venus_Polynomial Regression_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Random Forest_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Decision Tree_prediction,HZ_distance_HZ_distance_runaway_greenhouse_K-Neighbors_prediction,HZ_distance_HZ_distance_runaway_greenhouse_SVM_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Linear Regression_prediction,HZ_distance_HZ_distance_runaway_greenhouse_Polynomial Regression_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Random Forest_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Decision Tree_prediction,HZ_distance_HZ_distance_maximum_greenhouse_K-Neighbors_prediction,HZ_distance_HZ_distance_maximum_greenhouse_SVM_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Linear Regression_prediction,HZ_distance_HZ_distance_maximum_greenhouse_Polynomial Regression_prediction,HZ_distance_HZ_distance_early_mars_Random Forest_prediction,HZ_distance_HZ_distance_early_mars_Decision Tree_prediction,HZ_distance_HZ_distance_early_mars_K-Neighbors_prediction,HZ_distance_HZ_distance_early_mars_SVM_prediction,HZ_distance_HZ_distance_early_mars_Linear Regression_prediction,HZ_distance_HZ_distance_early_mars_Polynomial Regression_prediction
CS Cha c,Candidate,3286.203561,3.65,CS Cha,11.7,5688.237937,149.0,0.396618106,,,Not in HZ,4.520562894178468,3.579179292305895,2.0246337919969006,1.9195370316464069,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.51696633725575,4.520718945107423,3.751169526645165,3.9975088485433674,4.357224473978112,4.508775735222554,3.575837142301704,3.568556875411357,2.969995980510933,3.1462871507250094,3.4501984764487776,3.5698974124499507,2.0314931474879243,2.042108059582809,1.680528948365661,1.7473179027996173,1.9191098147342491,2.0163971431113357,1.9255354830735012,1.936104123906695,1.5932944646359957,1.6530336050909815,1.8195123801154756,1.9117273637669623
delta Pav b,Candidate,13505.0,11.1,delta Pav,3.55,5590.39,6.094,1.207271365,,,Not in HZ,2.4756945517458604,1.960204007755433,1.105690933991302,1.0482959013017048,Not in HZ,Not in HZ,Not in HZ,Not in HZ,2.4100876077169433,2.423916585101859,4.007151130207611,3.267147890373275,2.8853313105842227,2.4663870871545392,1.913417774686187,1.919352734373336,3.1728589255008353,2.562784251853139,2.2843015104669586,1.9529521796429488,1.269396014356475,1.2510912974463833,1.784424280678293,1.431690804020898,1.3112896748529663,1.0863493997236655,1.2088892005162897,1.1861511528064705,1.691798936728756,1.3537501328036883,1.2432053295935035,1.0299760352138088
delta Pav c,Candidate,57.0,0.289,delta Pav,3.55,5590.39,6.094,1.207271365,,,Not in HZ,2.4756945517458604,1.960204007755433,1.105690933991302,1.0482959013017048,Not in HZ,Not in HZ,Not in HZ,Not in HZ,2.4266396966667942,2.423916585101859,4.11521038688665,4.31008007852688,2.8884298851193804,2.495937330360177,1.9193527343733388,1.919352734373336,3.258339495128763,3.4068007564081086,2.2867479291555055,1.9763162491960418,1.267811731264381,1.2510912974463833,1.8378956747545625,1.8990985676173568,1.313437006858569,1.10534150997055,1.2081035780895966,1.1861511528064705,1.742492817335739,1.7992906435432467,1.2452406222376915,1.0479754934583054
Elias 2-24 c,Candidate,32646.6,20.0,Elias 2-24,14.4,4483.0,139.0,0.028709763,,,Not in HZ,4.7272523612220025,3.744078285216893,2.022999381388768,1.9180302389345876,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.736876313654224,4.740107253857871,3.5016356310010543,3.2115267490338315,4.923891960061407,4.902627342030083,3.7546752536132737,3.7541965505149855,2.7725746539542966,2.5591204342499188,3.8993142596027175,3.882631460297614,2.032046668081174,2.035591909544688,1.5592881368729095,1.4812401355355576,2.1306915085384226,2.1209821757643144,1.9263594069212528,1.9299641287525227,1.4783502035559777,1.4086968066055667,2.0201396139534245,2.010921237710822
Elias 2-24 d,Candidate,296190.0,87.0,Elias 2-24,14.4,4483.0,139.0,0.028709763,,,Not in HZ,4.7272523612220025,3.744078285216893,2.022999381388768,1.9180302389345876,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.736876313654224,4.740107253857871,3.3916920333565317,3.437033774483376,4.866867233024677,5.94239088235191,3.7546752536132737,3.7541965505149855,2.685880371715764,2.745544838452039,3.854293722060291,4.705117075690215,2.032046668081174,2.035591909544688,1.484630509678213,1.3844629330761753,2.0911867248458655,2.8142819673695896,1.9263594069212528,1.9299641287525227,1.4075785632015065,1.3174314712984478,1.9826957207132283,2.667924546366391
EPIC 211537087.02,Candidate,42.3822512,0.2688,K2-356,13.297,5568.0,355.54,0.518772488,,,Not in HZ,4.785092832339339,3.788764457944103,2.1356903592245984,2.0248295481965983,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.7353910810997615,4.722962438686941,4.315445012565916,4.3097825127617435,4.655703855861941,4.736227328469978,3.7447672819397737,3.7396598090896886,3.416906931188295,3.4069504855446575,3.6866517922032402,3.750153581236213,2.131791582332033,2.1590281741698223,1.925937517839517,1.898405067313044,2.0401650372674913,2.101705995378531,2.0348039813339684,2.046955009834472,1.8259647164668003,1.7987099937620519,1.9342928140574862,1.992620091440223
EPIC 211537087.03,Candidate,3286.203561,16.13423714,K2-356,13.297,5568.0,355.54,0.518772488,,,Not in HZ,4.785092832339339,3.788764457944103,2.1356903592245984,2.0248295481965983,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.735877445507706,4.722962438686941,3.6314275291032487,3.9880650447953903,4.65461794567935,4.750960378991224,3.7454710946989747,3.7396598090896886,2.87527588145833,3.140412928524861,3.6857942303276103,3.7618100018122407,2.1361756618658405,2.1590281741698223,1.6224701010805689,1.7392845211620387,2.03941123916546,2.1116737027156662,2.036292616590932,2.046955009834472,1.5382497756389988,1.645713452273763,1.9335783749392061,2.0020656331801256
EPIC 211939692.01,Candidate,26.8549,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,,Not in HZ,4.785463648234639,3.788077409299501,2.177364148871972,2.064349480332634,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.692403730559031,4.684111799532993,3.771371271937107,4.382825871541311,4.361113280783042,4.620645330665947,3.7133036828227346,3.708097695040786,2.9853458169025755,3.4541043276748966,3.4531398313376234,3.658009747715786,2.1401813953123154,2.1226639001702385,1.715838022530816,1.9583974717517076,1.93273910378685,2.1053086460892754,2.0156420424072827,2.0124827109315007,1.6267784639970428,1.8533638719681953,1.8324270587164664,1.9960015467873826
EPIC 211939692.02,Candidate,39.553,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,,Not in HZ,4.785463648234639,3.788077409299501,2.177364148871972,2.064349480332634,Not in HZ,Not in HZ,Not in HZ,Not in HZ,4.692403730559031,4.684111799532993,3.506198985970473,4.381486574602892,4.361110615629214,4.620728572975482,3.7132926398496204,3.708097695040786,2.775438845225945,3.4529876492458733,3.453137727273906,3.6580755994120384,2.1401813953123154,2.1226639001702385,1.5952467129604953,1.9577162307571685,1.9327372577847948,2.1053645952827402,2.0156420424072827,2.0124827109315007,1.512446421369345,1.8527079223878073,1.8324253090094165,1.9960545661944198
EPIC 211939692.03,Candidate,230.0,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,,Not in HZ,4.785463648234639,3.788077409299501,2.177364148871972,2.064349480332634,Not in HZ,Not in HZ,Conservative HZ,Not in HZ,4.693732028521193,4.684111799532993,4.51967926084416,4.361450968328213,4.361070643464016,4.621976915513963,3.71662254042342,3.708097695040786,3.5777074326613656,3.436289930484129,3.453106170377768,3.6590631438584627,2.141529824871715,2.12141256368321,2.0557676367423747,1.947541194711492,1.9327095713156823,2.10620364180697,2.0266652734689536,2.0112950890215218,1.949063881355644,1.842912128604315,1.832399066779592,1.9968496759314656
