planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,harmonic_ratio,habitable_zone_status
112 Psc b,Confirmed,4.4,0.054,112 Psc,5.88,5986,31.7627,3.835613384,nan,Not in HZ
112 Psc c,Confirmed,36336.7,22.21,112 Psc,5.88,5986,31.7627,3.835613384,nan,Not in HZ
14 Her b,Confirmed,1767.56,2.82,14 Her,6.67,5311,18.1,0.601668327,nan,Not in HZ
14 Her c,Confirmed,52160,27,14 Her,6.67,5311,18.1,0.601668327,nan,Not in HZ
23 Lib b,Confirmed,258.19,0.81,23 Lib,6.45,5740,22.2,1.108424072,nan,Conservative HZ
23 Lib c,Confirmed,5000,5.8,23 Lib,6.45,5740,22.2,1.108424072,nan,Not in HZ
24 Sex b,Confirmed,452.8,1.333,24 Sex,7.38,5098,72.2084,4.979381987,nan,Not in HZ
24 Sex c,Confirmed,883,2.08,24 Sex,7.38,5098,72.2084,4.979381987,nan,Not in HZ
2MASS J0320-0446 b,Confirmed,246.73,0.395,2MASS J0320-0446,10.81796395,2300,25,0.025159062,nan,Conservative HZ
2MASS J0320-0446 c,Confirmed,1585.448733,8.3,2MASS J0320-0446,10.81796395,2300,25,0.025159062,nan,Not in HZ
2MASS J0441+2301 Ab,Confirmed,1585.448733,33,2MASS J0441+2301 A,10.81796395,3400,145,0.846350833,nan,Not in HZ
2MASS J0441+2301 B,Confirmed,1585.448733,1800,2MASS J0441+2301 A,10.81796395,3400,145,0.846350833,nan,Not in HZ
2MASS J1657-5343 b,Confirmed,901915,165,2MASS J1657-5343,11.78,3568,50.5462,0.04240109,nan,Not in HZ
2MASS J1657-5343 c,Confirmed,1035140,180,2MASS J1657-5343,11.78,3568,50.5462,0.04240109,nan,Not in HZ
47 UMa b,Confirmed,1078,2.1,47 UMa,5.1,5892,13.97,1.521923462,nan,Not in HZ
47 UMa c,Confirmed,2391,3.6,47 UMa,5.1,5892,13.97,1.521923462,nan,Not in HZ
47 UMa d,Confirmed,14002,11.6,47 UMa,5.1,5892,13.97,1.521923462,nan,Not in HZ
51 Peg b,Confirmed,4.2308,0.052,51 Peg,5.49,5758,15.4614,1.301660218,nan,Not in HZ
51 Peg c,Confirmed,1585.448733,44,51 Peg,5.49,5758,15.4614,1.301660218,nan,Not in HZ
54 Psc b,Confirmed,62.25,0.295,54 Psc,5.8,5173,11,0.495205398,nan,Optimistic HZ
54 Psc c,Confirmed,1585.448733,476,54 Psc,5.8,5173,11,0.495205398,nan,Not in HZ
55 Cnc Ab,Confirmed,14.65314,0.11339,55 Cnc A,5.95,5250,12.5855,0.564600096,nan,Not in HZ
55 Cnc Ac,Confirmed,44.373,0.23735,55 Cnc A,5.95,5250,12.5855,0.564600096,nan,Not in HZ
55 Cnc Ad,Confirmed,5574.2,5.446,55 Cnc A,5.95,5250,12.5855,0.564600096,nan,Not in HZ
55 Cnc Ae,Confirmed,0.7365478,0.015439,55 Cnc A,5.95,5250,12.5855,0.564600096,nan,Not in HZ
55 Cnc Af,Confirmed,260.91,0.7733,55 Cnc A,5.95,5250,12.5855,0.564600096,nan,Conservative HZ
61 Vir b,Confirmed,4.215,0.050201,61 Vir,4.74,5531,8.52,0.788640706,nan,Not in HZ
61 Vir c,Confirmed,38.021,0.2175,61 Vir,4.74,5531,8.52,0.788640706,nan,Not in HZ
61 Vir d,Confirmed,123.01,0.476,61 Vir,4.74,5531,8.52,0.788640706,nan,Conservative HZ
75 Cet Ab,Confirmed,696.6,1.912,75 Cet A,5.36,4846,81.5,40.76760679,nan,Not in HZ
75 Cet Ac,Confirmed,2052,3.929,75 Cet A,5.36,4846,81.5,40.76760679,nan,Not in HZ
82 Eri b,Confirmed,18.32,0.127,82 Eri,4.26,5490,6.06,0.620790766,nan,Not in HZ
82 Eri c,Confirmed,43.17,0.225,82 Eri,4.26,5490,6.06,0.620790766,nan,Not in HZ
82 Eri d,Confirmed,88.9,0.364,82 Eri,4.26,5490,6.06,0.620790766,nan,Conservative HZ
82 Eri e,Confirmed,147.02,0.509,82 Eri,4.26,5490,6.06,0.620790766,nan,Conservative HZ
AU Mic b,Confirmed,8.463446,0.07,AU Mic,8.6,3700,9.79,0.029755372,nan,Not in HZ
AU Mic c,Confirmed,18.859023,0.119,AU Mic,8.6,3700,9.79,0.029755372,nan,Not in HZ
AU Mic d,Confirmed,12.73812,23.20727704,AU Mic,8.6,3700,9.79,0.029755372,nan,Not in HZ
BD-06 1339 c,Confirmed,125.94,0.435,BD-06 1339,6.69,4324,20,0.721207096,nan,Conservative HZ
BD-06 1339 d,Confirmed,487,1.06,BD-06 1339,6.69,4324,20,0.721207096,nan,Not in HZ
BD-06 1339 e,Confirmed,2.3946,0.03,BD-06 1339,6.69,4324,20,0.721207096,nan,Not in HZ
BD-08 2823 b,Confirmed,5.6,0.056,BD-08 2823,9.86,4746,42.2,0.173230717,nan,Not in HZ
BD-08 2823 c,Confirmed,237.6,0.68,BD-08 2823,9.86,4746,42.2,0.173230717,nan,Conservative HZ
BD-11 4672 b,Confirmed,1634,2.36,BD-11 4672,10.02,4475,27.3,0.062564113,nan,Not in HZ
BD-11 4672 c,Confirmed,74.2,0.3,BD-11 4672,10.02,4475,27.3,0.062564113,nan,Conservative HZ
BD+20 2457 b,Confirmed,379.63,1.45,BD+20 2457,9.75,4127,1670,300.2153834,nan,Not in HZ
BD+20 2457 c,Confirmed,621.99,2.01,BD+20 2457,9.75,4127,1670,300.2153834,nan,Not in HZ
beta Pic b,Confirmed,7707,9.93,beta Pic,3.86,8052,19.3,9.101534466,nan,Not in HZ
beta Pic c,Confirmed,1227,2.68,beta Pic,3.86,8052,19.3,9.101534466,nan,Not in HZ
chi Vir b,Confirmed,835.477,2.14,chi Vir,4.66,4445,90,94.72945067,nan,Not in HZ
chi Vir c,Confirmed,130,0.64,chi Vir,4.66,4445,90,94.72945067,nan,Conservative HZ
CoRoT-20 b,Confirmed,9.2431839,0.0902,CoRoT-20,14.66,5880,1230,1.769335629,nan,Not in HZ
CoRoT-20 c,Confirmed,1675,2.9,CoRoT-20,14.66,5880,1230,1.769335629,nan,Not in HZ
CoRoT-24 b,Confirmed,5.1134,0.056,CoRoT-24,10.81796395,4950,600,14.4916195,nan,Not in HZ
CoRoT-24 c,Confirmed,11.759,0.098,CoRoT-24,10.81796395,4950,600,14.4916195,nan,Not in HZ
CoRoT-7 Ab,Confirmed,0.8535,0.0172,CoRoT-7 A,11.7,5313,150,0.401959704,nan,Not in HZ
CoRoT-7 Ac,Confirmed,3.697,0.046,CoRoT-7 A,11.7,5313,150,0.401959704,nan,Not in HZ
CoRoT-7 Ad,Confirmed,8.966,0.08,CoRoT-7 A,11.7,5313,150,0.401959704,nan,Not in HZ
DoAr 21 (AB)b,Confirmed,450.88,1.55,DoAr 21 (AB),14,5080,134.6,0.038912588,nan,Not in HZ
DoAr 21 (AB)c,Confirmed,1013.5,2.8,DoAr 21 (AB),14,5080,134.6,0.038912588,nan,Not in HZ
eta Cet b,Confirmed,403.5,1.27,eta Cet,3.45,4528,38,51.47154367,nan,Not in HZ
eta Cet c,Confirmed,751.9,1.93,eta Cet,3.45,4528,38,51.47154367,nan,Not in HZ
G 124-62 Ba,Confirmed,1585.448733,1500,G 124-62,12.43,3462,35.74,0.011649549,nan,Not in HZ
G 124-62 Bb,Confirmed,36500,12.7,G 124-62,12.43,3462,35.74,0.011649549,nan,Not in HZ
G 264-012 b,Confirmed,2.30538,0.02279,G 264-012,12,3326,15.986,0.003463216,nan,Not in HZ
G 264-012 c,Confirmed,8.0518,0.0525,G 264-012,12,3326,15.986,0.003463216,nan,Not in HZ
gamma Lib b,Confirmed,415.2,1.2397,gamma Lib,3,4822,50.2,135.9588349,nan,Not in HZ
gamma Lib c,Confirmed,964.6,2.1761,gamma Lib,3,4822,50.2,135.9588349,nan,Not in HZ
GJ 1002 b,Confirmed,10.3465,0.0457,GJ 1002,14,5319.019429,4.846,5.04E-05,nan,Not in HZ
GJ 1002 c,Confirmed,20.202,0.0738,GJ 1002,14,5319.019429,4.846,5.04E-05,nan,Not in HZ
GJ 1061 b,Confirmed,3.204,0.021,GJ 1061,13,2953,3.6732,7.28E-05,nan,Not in HZ
GJ 1061 c,Confirmed,6.689,0.035,GJ 1061,13,2953,3.6732,7.28E-05,nan,Not in HZ
GJ 1061 d,Confirmed,12.434,0.052,GJ 1061,13,2953,3.6732,7.28E-05,nan,Not in HZ
GJ 1132 b,Confirmed,1.628931,0.0154,GJ 1132,13.5,3270,12.04,0.000493461,nan,Not in HZ
GJ 1132 c,Confirmed,8.929,0.0476,GJ 1132,13.5,3270,12.04,0.000493461,nan,Not in HZ
GJ 143 b,Confirmed,35.61253,0.1932,GJ 143,8.3,4640,16.33,0.10913709,nan,Not in HZ
GJ 143 c,Confirmed,7.78993,0.0695,GJ 143,8.3,4640,16.33,0.10913709,nan,Not in HZ
GJ 15 Ab,Confirmed,11.4407,0.072,GJ 15 A,8.08,3567,3.587,0.00644856,nan,Not in HZ
GJ 15 Ac,Confirmed,7555,5.4,GJ 15 A,8.08,3567,3.587,0.00644856,nan,Not in HZ
GJ 163 b,Confirmed,8.6312,0.06,GJ 163,11.8,5319.019429,15,0.003665916,nan,Not in HZ
GJ 163 c,Confirmed,25.637,0.124,GJ 163,11.8,5319.019429,15,0.003665916,nan,Not in HZ
GJ 163 d,Confirmed,604,1.021,GJ 163,11.8,5319.019429,15,0.003665916,nan,Conservative HZ
GJ 163 e,Confirmed,349,0.7,GJ 163,11.8,5319.019429,15,0.003665916,nan,Conservative HZ
GJ 163 f,Confirmed,109.5,0.326,GJ 163,11.8,5319.019429,15,0.003665916,nan,Optimistic HZ
GJ 176 b,Confirmed,8.7748,0.066,GJ 176,9.97,5319.019429,9.42,0.007800129,nan,Not in HZ
GJ 176 c,Confirmed,28.586,0.146,GJ 176,9.97,5319.019429,9.42,0.007800129,nan,Not in HZ
GJ 179 b,Confirmed,2288,2.41,GJ 179,11.96,3370,12.3,0.002127209,nan,Not in HZ
GJ 179 c,Confirmed,3.4798,0.032,GJ 179,11.96,3370,12.3,0.002127209,nan,Not in HZ
GJ 180 b,Confirmed,17.132,0.092,GJ 180,10.894,3371,479.7811606,8.639455685,nan,Not in HZ
GJ 180 c,Confirmed,24.329,0.129,GJ 180,10.894,3371,479.7811606,8.639455685,nan,Not in HZ
GJ 180 d,Confirmed,106.341,0.31,GJ 180,10.894,3371,479.7811606,8.639455685,nan,Conservative HZ
GJ 2030 Ab,Confirmed,1585.448733,0.034,GJ 2030 A,6.23,5485,37.0788,3.786616656,nan,Not in HZ
GJ 2030 Ac,Confirmed,25635,16.752,GJ 2030 A,6.23,5485,37.0788,3.786616656,nan,Not in HZ
GJ 2056 b,Confirmed,69.971,0.283,GJ 2056,10.4,4002,28.443,0.047857588,nan,Conservative HZ
GJ 2056 c,Confirmed,2982.394,3.453,GJ 2056,10.4,4002,28.443,0.047857588,nan,Not in HZ
GJ 229 Ba,Confirmed,79231.9,28.933,GJ 229,8.125,3564,5.75624,0.015932275,nan,Not in HZ
GJ 229 Bb,Confirmed,12.134,0.0424,GJ 229,8.125,3564,5.75624,0.015932275,nan,Not in HZ
GJ 229 c,Confirmed,523.242,0.896,GJ 229,8.125,3564,5.75624,0.015932275,nan,Conservative HZ
GJ 229 d,Confirmed,122.005,0.339,GJ 229,8.125,3564,5.75624,0.015932275,nan,Conservative HZ
GJ 3138 b,Confirmed,5.974,0.057,GJ 3138,10.98,3717,479.7811606,7.981534245,nan,Not in HZ
GJ 3138 c,Confirmed,1.22003,0.0197,GJ 3138,10.98,3717,479.7811606,7.981534245,nan,Not in HZ
GJ 3138 d,Confirmed,257.8,0.698,GJ 3138,10.98,3717,479.7811606,7.981534245,nan,Conservative HZ
GJ 317 b,Confirmed,695.66,1.151,GJ 317,12,3510,15.1,0.003089967,nan,Not in HZ
GJ 317 c,Confirmed,6739.323,5.23,GJ 317,12,3510,15.1,0.003089967,nan,Not in HZ
GJ 3222 Ab,Confirmed,10.7,0.091,GJ 3222 A,6.9,5257.46,17.692,0.465108055,nan,Not in HZ
GJ 3222 Ac,Confirmed,1429.8,2.391,GJ 3222 A,6.9,5257.46,17.692,0.465108055,nan,Not in HZ
GJ 328 b,Confirmed,4100,4.5,GJ 328,9.98,3900,19.8,0.034145257,nan,Not in HZ
GJ 328 c,Confirmed,241.8,0.657,GJ 328,9.98,3900,19.8,0.034145257,nan,Conservative HZ
GJ 3293 b,Confirmed,30.5987,0.14339,GJ 3293,11.96,3466,17.9,0.004505117,nan,Not in HZ
GJ 3293 c,Confirmed,122.6196,0.36175,GJ 3293,11.96,3466,17.9,0.004505117,nan,Conservative HZ
GJ 3293 d,Confirmed,48.1345,0.194,GJ 3293,11.96,3466,17.9,0.004505117,nan,Not in HZ
GJ 3293 e,Confirmed,13.2543,0.0821,GJ 3293,11.96,3466,17.9,0.004505117,nan,Not in HZ
GJ 3323 b,Confirmed,5.3636,0.03282,GJ 3323,12.22,3159,479.7811606,2.547336868,nan,Not in HZ
GJ 3323 c,Confirmed,40.54,0.1264,GJ 3323,12.22,3159,479.7811606,2.547336868,nan,Not in HZ
GJ 3473 b,Confirmed,1.1980035,0.01589,GJ 3473,13,3347,27.39,0.004047474,nan,Not in HZ
GJ 3473 c,Confirmed,15.509,0.0876,GJ 3473,13,3347,27.39,0.004047474,nan,Not in HZ
GJ 3512 b,Confirmed,203.69,0.337,GJ 3512,10.81796395,3081,9.489,0.00362456,nan,Conservative HZ
GJ 3512 c,Confirmed,1599.6,1.292,GJ 3512,10.81796395,3081,9.489,0.00362456,nan,Not in HZ
GJ 357 b,Confirmed,3.93086,0.033,GJ 357,10.81796395,3505,9.444,0.003590264,nan,Not in HZ
GJ 357 c,Confirmed,9.1246,0.0607,GJ 357,10.81796395,3505,9.444,0.003590264,nan,Not in HZ
GJ 357 d,Confirmed,55.698,0.204,GJ 357,10.81796395,3505,9.444,0.003590264,nan,Not in HZ
GJ 367  b,Confirmed,0.3219225,0.0069,GJ 367,10,3522,9.41,0.007571453,nan,Not in HZ
GJ 367 c,Confirmed,11.53,23.20727704,GJ 367,10,3522,9.41,0.007571453,nan,Not in HZ
GJ 367 d,Confirmed,34.369,23.20727704,GJ 367,10,3522,9.41,0.007571453,nan,Not in HZ
GJ 3929 b,Confirmed,2.6162745,0.02569,GJ 3929,12,3369,15.83,0.003395954,nan,Not in HZ
GJ 3929 c,Confirmed,14.303,0.078,GJ 3929,12,3369,15.83,0.003395954,nan,Not in HZ
GJ 3998 b,Confirmed,2.64977,0.029,GJ 3998,10.8,3722,17.8,0.012967015,nan,Not in HZ
GJ 3998 c,Confirmed,13.74,0.089,GJ 3998,10.8,3722,17.8,0.012967015,nan,Not in HZ
GJ 414 Ab,Confirmed,50.817,0.24,GJ 414 A,8.9,4120,11.893,0.033310629,nan,Not in HZ
GJ 414 Ac,Confirmed,748.3,1.43,GJ 414 A,8.9,4120,11.893,0.033310629,nan,Not in HZ
GJ 4276 b,Confirmed,13.35,0.082,GJ 4276,12,3387,21.35,0.006177258,nan,Not in HZ
GJ 4276 c,Confirmed,6.675,0.052,GJ 4276,12,3387,21.35,0.006177258,nan,Not in HZ
GJ 433 b,Confirmed,7.3708,0.062,GJ 433,9.79,3600,9.04,0.008478848,nan,Not in HZ
GJ 433 c,Confirmed,4874,4.692,GJ 433,9.79,3600,9.04,0.008478848,nan,Not in HZ
GJ 433 d,Confirmed,36.052,0.178,GJ 433,9.79,3600,9.04,0.008478848,nan,Not in HZ
GJ 581 b,Confirmed,5.368,0.041,GJ 581,10.55,3498,6.21,0.001986933,nan,Not in HZ
GJ 581 c,Confirmed,12.919,0.074,GJ 581,10.55,3498,6.21,0.001986933,nan,Not in HZ
GJ 581 e,Confirmed,3.153,0.029,GJ 581,10.55,3498,6.21,0.001986933,nan,Not in HZ
GJ 649 b,Confirmed,598.3,1.135,GJ 649,9.7,3700,10.34,0.012051499,nan,Not in HZ
GJ 649 c,Confirmed,4.4762,0.043,GJ 649,9.7,3700,10.34,0.012051499,nan,Not in HZ
GJ 667 Cb,Confirmed,7.2004,0.0505,GJ 667 C,10.22,3600,6.84,0.003266722,nan,Not in HZ
GJ 667 Cc,Confirmed,28.14,0.125,GJ 667 C,10.22,3600,6.84,0.003266722,nan,Not in HZ
GJ 667 Ce,Confirmed,62.24,0.213,GJ 667 C,10.22,3600,6.84,0.003266722,nan,Not in HZ
GJ 667 Cf,Confirmed,39.026,0.156,GJ 667 C,10.22,3600,6.84,0.003266722,nan,Not in HZ
GJ 667 Cg,Confirmed,256.2,0.549,GJ 667 C,10.22,3600,6.84,0.003266722,nan,Conservative HZ
GJ 676 Ab,Confirmed,1051.4,1.735,GJ 676 A,9.59,5319.019429,16.45,0.03375451,nan,Not in HZ
GJ 676 Ac,Confirmed,13921.4,9.726,GJ 676 A,9.59,5319.019429,16.45,0.03375451,nan,Not in HZ
GJ 676 Ad,Confirmed,3.6,0.0413,GJ 676 A,9.59,5319.019429,16.45,0.03375451,nan,Not in HZ
GJ 676 Ae,Confirmed,35.37,0.187,GJ 676 A,9.59,5319.019429,16.45,0.03375451,nan,Not in HZ
GJ 682 b,Confirmed,17.478,0.08,GJ 682,10.81796395,3028,479.7811606,9.266181505,nan,Not in HZ
GJ 682 c,Confirmed,57.32,0.176,GJ 682,10.81796395,3028,479.7811606,9.266181505,nan,Not in HZ
GJ 687 b,Confirmed,38.142,0.163,GJ 687,9.15,3413,4.5,0.003788131,nan,Not in HZ
GJ 687 c,Confirmed,727.562,1.165,GJ 687,9.15,3413,4.5,0.003788131,nan,Not in HZ
GJ 777 Ab,Confirmed,2852.475,3.9,GJ 777 A,5.74,5549,16.0069,1.108190604,nan,Not in HZ
GJ 777 Ac,Confirmed,17.1186,0.128,GJ 777 A,5.74,5549,16.0069,1.108190604,nan,Not in HZ
GJ 777 Ad,Confirmed,88.9,0.3947,GJ 777 A,5.74,5549,16.0069,1.108190604,nan,Conservative HZ
GJ 785 b,Confirmed,74.72,0.32,GJ 785,6.13,5144,8.911,0.239802048,nan,Conservative HZ
GJ 785 c,Confirmed,525.8,1.18,GJ 785,6.13,5144,8.911,0.239802048,nan,Not in HZ
GJ 849 b,Confirmed,1914,2.35,GJ 849,10.37,5319.019429,9.1,0.005035966,nan,Not in HZ
GJ 849 c,Confirmed,7049,23.20727704,GJ 849,10.37,5319.019429,9.1,0.005035966,nan,Not in HZ
GJ 876 b,Confirmed,61.03474,0.214,GJ 876,10.17,3350,4.7,0.001615086,nan,Not in HZ
GJ 876 c,Confirmed,30.126,0.134,GJ 876,10.17,3350,4.7,0.001615086,nan,Not in HZ
GJ 876 d,Confirmed,1.938,0.021,GJ 876,10.17,3350,4.7,0.001615086,nan,Not in HZ
GJ 876 e,Confirmed,124.4,0.345,GJ 876,10.17,3350,4.7,0.001615086,nan,Conservative HZ
GJ 887 b,Confirmed,9.252,0.068,GJ 887,7.34,3688,3.2871,0.010705965,nan,Not in HZ
GJ 887 c,Confirmed,21.789,0.12,GJ 887,7.34,3688,3.2871,0.010705965,nan,Not in HZ
GJ 9827 b,Confirmed,1.2089765,0.01866,GJ 9827,10.4,4255,30.3,0.054310682,nan,Not in HZ
GJ 9827 c,Confirmed,3.648086,0.03896,GJ 9827,10.4,4255,30.3,0.054310682,nan,Not in HZ
GJ 9827 d,Confirmed,6.20183,0.0555,GJ 9827,10.4,4255,30.3,0.054310682,nan,Not in HZ
HAT-P-11 b,Confirmed,4.887802443,0.053,HAT-P-11,9.59,4780,37.89,0.179080876,nan,Not in HZ
HAT-P-11 c,Confirmed,3299,4.19,HAT-P-11,9.59,4780,37.89,0.179080876,nan,Not in HZ
HAT-P-13 b,Confirmed,2.916415,0.045,HAT-P-13,10.62,5638,214,2.21221609,nan,Not in HZ
HAT-P-13 c,Confirmed,446.27,1.186,HAT-P-13,10.62,5638,214,2.21221609,nan,Not in HZ
HAT-P-17 b,Confirmed,10.3385308,0.0828,HAT-P-17,10.54,5246,90,0.421196757,nan,Not in HZ
HAT-P-17 c,Confirmed,1798,2.75,HAT-P-17,10.54,5246,90,0.421196757,nan,Not in HZ
HAT-P-26 b,Confirmed,4.234502,0.0479,HAT-P-26,11.74,5079,134,0.309178721,nan,Not in HZ
HAT-P-26 d,Confirmed,6.594,0.0643,HAT-P-26,11.74,5079,134,0.309178721,nan,Not in HZ
HAT-P-27 Ab,Confirmed,3.0395803,0.0403,HAT-P-27 A,12.21,5300,204,0.464793809,nan,Not in HZ
HAT-P-27 Ac,Confirmed,1.1994,0.0217,HAT-P-27 A,12.21,5300,204,0.464793809,nan,Not in HZ
HAT-P-2 b,Confirmed,5.6334729,0.0674,HAT-P-2,8.71,6414,118,3.906285797,nan,Not in HZ
HAT-P-2 c,Confirmed,8500,9,HAT-P-2,8.71,6414,118,3.906285797,nan,Not in HZ
HAT-P-44 Bb,Confirmed,4.301217,0.0507,HAT-P-44 B,13.21,5295,374,0.621932432,nan,Not in HZ
HAT-P-44 Bc,Confirmed,219.9,0.699,HAT-P-44 B,13.21,5295,374,0.621932432,nan,Conservative HZ
HAT-P-46 b,Confirmed,4.463129,0.0577,HAT-P-46,11.936,6120,296,1.259457225,nan,Not in HZ
HAT-P-46 c,Confirmed,77.7,0.387,HAT-P-46,11.936,6120,296,1.259457225,nan,Conservative HZ
HATS-59 b,Confirmed,5.416081,0.06112,HATS-59,14,5670,654,0.918661459,nan,Not in HZ
HATS-59 c,Confirmed,1422,2.5,HATS-59,14,5670,654,0.918661459,nan,Not in HZ
HD 10180 c,Confirmed,5.75979,0.0641,HD 10180,7.33,5911,39.4,1.55236,nan,Not in HZ
HD 10180 d,Confirmed,16.3579,0.1286,HD 10180,7.33,5911,39.4,1.55236,nan,Not in HZ
HD 10180 e,Confirmed,49.745,0.2699,HD 10180,7.33,5911,39.4,1.55236,nan,Not in HZ
HD 10180 f,Confirmed,122.76,0.4929,HD 10180,7.33,5911,39.4,1.55236,nan,Conservative HZ
HD 10180 g,Confirmed,601.2,1.422,HD 10180,7.33,5911,39.4,1.55236,nan,Not in HZ
HD 10180 h,Confirmed,2222,3.4,HD 10180,7.33,5911,39.4,1.55236,nan,Not in HZ
HD 102272 b,Confirmed,127.58,0.614,HD 102272,8.71,4908,360,36.35841995,nan,Conservative HZ
HD 102272 c,Confirmed,520,1.57,HD 102272,8.71,4908,360,36.35841995,nan,Not in HZ
HD 102329 b,Confirmed,778.1,2.01,HD 102329,8.04,4830,158,12.98118006,nan,Not in HZ
HD 102329 c,Confirmed,1123,23.20727704,HD 102329,8.04,4830,158,12.98118006,nan,Not in HZ
HD 104067 b,Confirmed,55.851,0.2674,HD 104067,7.93,4969,20.8,0.248958334,nan,Not in HZ
HD 104067 c,Confirmed,13.8992,0.1058,HD 104067,7.93,4969,20.8,0.248958334,nan,Not in HZ
Hd 104067 d,Confirmed,2.1538197,0.03,HD 104067,7.93,4969,20.8,0.248958334,nan,Not in HZ
HD 105618 b,Confirmed,10,0.091,HD 105618,8.64,5671,70.0837,1.469718104,nan,Not in HZ
HD 105618 c,Confirmed,77114.1,35.731,HD 105618,8.64,5671,70.0837,1.469718104,nan,Not in HZ
HD 106315 b,Confirmed,9.55237,0.0907,HD 106315,9,6327,109,2.551837386,nan,Not in HZ
HD 106315 c,Confirmed,21.05704,0.1536,HD 106315,9,6327,109,2.551837386,nan,Not in HZ
HD 107148 Ab,Confirmed,48.056,0.269,HD 107148 A,8.01,5797,51.3,1.406807679,nan,Not in HZ
HD 107148 Ac,Confirmed,18.3267,0.1406,HD 107148 A,8.01,5797,51.3,1.406807679,nan,Not in HZ
HD 108236 b,Confirmed,3.79523,0.0469,HD108236,9.2,5720,64.6,0.745529849,nan,Not in HZ
HD 108236 c,Confirmed,6.2037,0.0651,HD108236,9.2,5720,64.6,0.745529849,nan,Not in HZ
HD 108236 d,Confirmed,14.17555,0.1131,HD108236,9.2,5720,64.6,0.745529849,nan,Not in HZ
HD 108236 e,Confirmed,19.5917,0.14,HD108236,9.2,5720,64.6,0.745529849,nan,Not in HZ
HD 108236 f,Confirmed,29.54115,0.1758,HD108236,9.2,5720,64.6,0.745529849,nan,Not in HZ
HD 108874 b,Confirmed,395.4,1.051,HD 108874,8.76,5407,68.5,1.257132757,nan,Conservative HZ
HD 108874 c,Confirmed,1605.8,2.68,HD 108874,8.76,5407,68.5,1.257132757,nan,Not in HZ
HD 109271 Ab,Confirmed,7.8543,0.079,HD 109271 A,8.05,5783,62,1.98053891,nan,Not in HZ
HD 109271 Ac,Confirmed,30.93,0.196,HD 109271 A,8.05,5783,62,1.98053891,nan,Not in HZ
HD 110067 b,Confirmed,9.113678,0.0793,HD 110067,8.4,5266,32.22,0.387481589,nan,Not in HZ
HD 110067 c,Confirmed,13.673694,0.104,HD 110067,8.4,5266,32.22,0.387481589,nan,Not in HZ
HD 110067 d,Confirmed,20.519617,0.136,HD 110067,8.4,5266,32.22,0.387481589,nan,Not in HZ
HD 110067 e,Confirmed,30.793091,0.1785,HD 110067,8.4,5266,32.22,0.387481589,nan,Not in HZ
HD 110067 f,Confirmed,41.05854,0.2163,HD 110067,8.4,5266,32.22,0.387481589,nan,Not in HZ
HD 110067 g,Confirmed,54.76992,0.262,HD 110067,8.4,5266,32.22,0.387481589,nan,Not in HZ
HD 110113 b,Confirmed,2.541,0.035,HD 110113,10,5732,106.3,0.966198878,nan,Not in HZ
HD 110113 c,Confirmed,6.744,0.068,HD 110113,10,5732,106.3,0.966198878,nan,Not in HZ
HD 111232 b,Confirmed,1169.1,2.148,HD 111232,7.61,5494,29,0.649824372,nan,Not in HZ
HD 111232 c,Confirmed,26472.4,17.25,HD 111232,7.61,5494,29,0.649824372,nan,Not in HZ
HD 113337 Ab,Confirmed,323.4,1.03,HD 113337 A,6,6577,36.9,4.635031952,nan,Conservative HZ
HD 113337 Ac,Confirmed,3264.7,4.8,HD 113337 A,6,6577,36.9,4.635031952,nan,Not in HZ
HD 113538 b,Confirmed,663.2,1.24,HD 113538,9.06,4462,15.8,0.05073576,nan,Not in HZ
HD 113538 c,Confirmed,1818,2.44,HD 113538,9.06,4462,15.8,0.05073576,nan,Not in HZ
HD 114386 b,Confirmed,937,1.02,HD 114386,8.73,4819,28,0.21593153,nan,Not in HZ
HD 114386 c,Confirmed,1046,23.20727704,HD 114386,8.73,4819,28,0.21593153,nan,Not in HZ
HD 114783 b,Confirmed,493.7,1.16,HD 114783,7.57,5105,20.4,0.333626343,nan,Not in HZ
HD 114783 c,Confirmed,4318,23.20727704,HD 114783,7.57,5105,20.4,0.333626343,nan,Not in HZ
HD 11506 b,Confirmed,1613.7,2.8,HD 11506,7.51,6030,51.261,2.226251106,nan,Not in HZ
HD 11506 c,Confirmed,223.41,0.774,HD 11506,7.51,6030,51.261,2.226251106,nan,Conservative HZ
HD 11506 d,Confirmed,26517,18.2,HD 11506,7.51,6030,51.261,2.226251106,nan,Not in HZ
HD 115404 Ab,Confirmed,10.5,0.088,HD 115404 A,6.66,5019.17,10.9816,0.223527644,nan,Not in HZ
HD 115404 Ac,Confirmed,15319.2,11.364,HD 115404 A,6.66,5019.17,10.9816,0.223527644,nan,Not in HZ
HD 116029 Ab,Confirmed,670.2,1.73,HD 116029 A,8.04,4951,123.2,7.892624034,nan,Not in HZ
HD 116029 Ac,Confirmed,907,23.20727704,HD 116029 A,8.04,4951,123.2,7.892624034,nan,Not in HZ
HD 118203 b,Confirmed,6.13499,0.07082,HD 118203,8.05,5872,88.6,4.044524251,nan,Not in HZ
HD 118203 c,Confirmed,5103,5.36,HD 118203,8.05,5872,88.6,4.044524251,nan,Not in HZ
HD 11964 Ab,Confirmed,1945,3.16,HD 11964 A,6.42,5248,33.98,2.669603414,nan,Not in HZ
