planet_name,semi_major_axis,star_distance,star_temperature,mag_v
2MASS J1114-2618,,5.58,,
2MASS J1115+1937,,37,,
2MASS J1119-1137,,26.4,,
2MASS J1119-1137 b,3.6,26.4,,
2MASS J1124+3808 b,148.31,18.4523,3172,14.55
2MASS J1146+2230,,26.2,,
2MASS J1146+2230 b,7.6,26.2,,
2MASS J1154-3400,,38.3,,
2MASS J1155-3727,,11.8,,
2MASS J1155-7919 b,582,101.15,,14
2MASS J1200-7845,,101.1,,
2MASS J1207+0244,,22.32,,
2MASS J1207+0244 b,17,22.32,,
2MASS J1209-1004,,21,,
2MASS J1209-1004 b,3.31,21,,
2MASS J1214+6316,,,,
2MASS J1214+6316 b,24,,,
2MASS J1217-0311,,8.6,,
2MASS J1219+3128,,19,,
2MASS J1225-2739,,11.2,,
2MASS J1225-2739 b,3.8,11.2,,
2MASS J1237+6526,,10.42,,
2MASS J1247-3816,,76.6,,
2MASS J1252+2735 b,,197.2,,12
2MASS J1254-0122,,13.7,,
2MASS J1258+2630 b,,58.5849,3825,12.69
2MASS J1311+3629,,32.18,,
2MASS J1311+3629 b,27,32.18,,
2MASS J1315-2649 b,6.6,19,1770,
2MASS J1320+0409,,30.86,,
2MASS J1324+6358,,260,,
2MASS J1326-0038,,20,,
2MASS J1326-2729,,18,,
2MASS J1341-3052,,29,,
2MASS J1341-3052 b,8.6,29,,
2MASS J1346-0031,,14.6,,
2MASS J1359-4034,,21.05,,
2MASS J1404-3159,,23.5,,
2MASS J1404-3159 b,3.15,23.5,,
2MASS J1411-2119,,45.6,,
2MASS J1415+5724,,39,,
2MASS J1415+5724 b,29,39,,
2MASS J1416+5006,,44,,
2MASS J1422+2215,,,,
2MASS J1422+2215 b,43,,,
2MASS J1425-3650,,9,,
2MASS J1426+1557 b,2.92,18.8,,
2MASS J1439+1929,,14.17,,
2MASS J1448+1031,,22,,
2MASS J1450-7841 A,300,75,,
2MASS J1450-7841 B,300,75,,
2MASS J1453+14204 b,72,35.78,,
2MASS J1503+2525,,7,,
2MASS J1506+1321,,11.7,,
2MASS J1507-1627,,8,,
2MASS J1515+4847,,11,,
2MASS J1516+0259,,60,,
2MASS J1516+0259 b,2.7,60,,
2MASS J1516+3053,,20.746,,
2MASS J1516+3053 b,2.7,20.746,,
2MASS J1526+2043,,18,,
2MASS J1534-2952,,15.9,,
2MASS J1534-2952 b,2.3,15.9,,
2MASS J1539-0520,,16.87,,
2MASS J1546-3325,,11.4,,
2MASS J1547-2423,,34.25,,
2MASS J1547-2423 b,7,34.25,,
2MASS J1550+1455 b,30,33,,
2MASS J1551+0941,,64,,
2MASS J1552+2948,,20,,
2MASS J1553+1532,,12,,
2MASS J1553+1532 b,4.2,12,,
2MASS J1554-3154 b,883,142.476115,4318.64,12.1
2MASS J1555-0956,,13.52,,
2MASS J1559+4403 Ab,0.0938,35,,11.8
2MASS J1615+1340,,20.4,,
2MASS J1617-1858,,60,,
2MASS J1617-3828 b,721,105.997,3968,13.31
2MASS J1624+0029,,11,,
2MASS J1626+3925,,30.93,,
2MASS J1630-2018 b,551.63,182.046,3981,13.9
2MASS J1632+1904,,15.2,,
2MASS J1647+5632,,20.2,,
2MASS J1657-5343 b,165,50.5462,3568,11.78
2MASS J1657-5343 c,180,50.5462,3568,11.78
2MASS J1707-0138 b,31,38.5,,
2MASS J1711+2232,,30.2,,
2MASS J1711+2232 b,4.53,30.2,,
2MASS J1726+1538,,47,,
2MASS J1731+5310,,,,
2MASS J1731+5310 b,48,,,
2MASS J1737+5953,,,,
2MASS J1737+5953 b,50,,,
2MASS J1750+1759,,27.6,,
2MASS J1807+5015,,14.606,,
2MASS J1839+4424 b,832,37.67,2810,
2MASS J1841+3117,,42.42,,
2MASS J1935-2846,,56.5,,
2MASS J2002-0521,,17.6316,,
2MASS J2013-2806,,48.1,,
2MASS J2026-2943 b,9,36,,
2MASS J2033-5635,,55.4,,
2MASS J2057-0252,,15.45,,
2MASS J2104-1037,,17.23,,
2MASS J2117-2940,,16.9,,
2MASS J2126+7617,,16.35,,
2MASS J2126+7617 b,1.3,16.35,,
2MASS J2140+1625 b,3.53,25,2300,
2MASS J2148+4003,,7,,
2MASS J2154+5942,,18.8,,
2MASS J2202-5605,,69.97,,
2MASS J2202-5605 b,4.8,69.97,,
2MASS J2206-2047 b,4.48,26.67,2350,19.78
2MASS J2206+3301,,34.4,,
2MASS J2206-4217,,29.5966,,
2MASS J2208+2921,,50,,
2MASS J2224-0158,,11.4,,
2MASS J2228-4310,,10.6,,
2MASS J2236+4751 b,230,63,,12.5
2MASS J2244+2043,,11.6075,,
2MASS J2250+2325 b,518,57.2309,3352,14.9
2MASS J2322-3133,,23,,
2MASS J2322-6151,,43.0283,,
2MASS J2322-6151 b,714,43.0283,,
2MASS J2333-1240 b,117,79.84542,3200,14.7
2MASS J2343-3646,,40.5,,
2MASS J2352-1100,,40.2,,
2S 0918-549 b,0.00116,4750,,21
38 Vir b,1.82,,6557,6.11
3 Cnc b,2.52,243.3,4319,5.6
41 Com Ab,1.6,102,4181,4.9
44 Uma b,2.16,200.4,4215,5.12
47 UMa b,2.1,13.97,5892,5.1
47 UMa c,3.6,13.97,5892,5.1
47 UMa d,11.6,13.97,5892,5.1
4FGL J1408.6-2917 b,0.006017,2200,,
4U 0513-40 b,0.001147,12000,,
4U 0614+09 b,0.00238,3300,,18.5
4U 1543-62 b,0.001187,3300,,
4U 1626-67 b,0.002037,4500,,
4U 1850-086 b,0.0013,8200,,
4U 1905+000 b,0.001828,8750,,20.5
51 Eri b,11.1,29.4,,5.223
51 Peg b,0.052,15.4614,5758,5.49
51 Peg c,44,15.4614,5758,5.49
54 Psc b,0.295,11,5173,5.8
54 Psc c,476,11,5173,5.8
55 Cnc Ab,0.11339,12.5855,5250,5.95
55 Cnc Ac,0.23735,12.5855,5250,5.95
55 Cnc Ad,5.446,12.5855,5250,5.95
55 Cnc Ae,0.015439,12.5855,5250,5.95
55 Cnc Af,0.7733,12.5855,5250,5.95
59 Dra b,0.22,27.4468,7137,5.11
61 Vir b,0.050201,8.52,5531,4.74
61 Vir c,0.2175,8.52,5531,4.74
61 Vir d,0.476,8.52,5531,4.74
6 Lyn b,2.11,56.9,4978,5.86
70 Vir Ab,0.48,22,5432,5
72 Peg Bb,3.46,168.35,4379,5.95
75 Cet Ab,1.912,81.5,4846,5.36
75 Cet Ac,3.929,81.5,4846,5.36
78 Psc b,18.6,42.9,,6
79 Cet Ab,0.35,35.9,5533,6.78
81 Cet b,2.5,97.2,,5.65
82 Eri b,0.127,6.06,5490,4.26
82 Eri c,0.225,6.06,5490,4.26
82 Eri d,0.364,6.06,5490,4.26
82 Eri e,0.509,6.06,5490,4.26
8 Umi b,0.462,159.1,4847.4,6.83
94 Cet Ab,1.305,22.38,5984,5.07
AB Aur b,93.9,144,,7.06
AB Dor Cb,0.58,15.8,,
AB Pic b,275,47.3,5285,9.16
AD 3116 b,,186.54,3200,
ADS 11163 Ab,0.057,137.9,5914.22,9.9
AE 1 b,0.0002468,347,14000,14.42
AF Lep b,8.2,26.843,6130,6.3
AL Com b,0.00249,614.018,16300,16.2
Aldebaran b,,20.43,4055,0.85
alf Ari b,1.2,20.2,4553,2.01
AS 205 Ab,0.162,140,4300,12.4
ASASSN-16kr b,0.003,160.5,10000,19
ASASSN-17jf b,0.0026,286,10500,20
ASR 28,,300,,
AU Mic b,0.07,9.79,3700,8.6
AU Mic c,0.119,9.79,3700,8.6
AU Mic d,,9.79,3700,8.6
Barnard's star b,0.02294,1.82823,3195,9.5
b Cen b,556,99.7,,4
BD-00 4475 b,1.48,42.69,,9
BD+03 2562 b,1.3,2618,4095,9.58
BD-06 1339 c,0.435,20,4324,6.69
BD-06 1339 d,1.06,20,4324,6.69
BD-06 1339 e,0.03,20,4324,6.69
BD-08 2823 b,0.056,42.2,4746,9.86
BD-08 2823 c,0.68,42.2,4746,9.86
BD-10 3166 b,0.046,66,5400,10.08
BD-11 4672 b,2.36,27.3,4475,10.02
BD-11 4672 c,0.3,27.3,4475,10.02
BD+14 4559 b,0.777,50,5008,9.63
BD+15 2375 b,0.576,774,4649,10.3
BD+15 2940 b,0.539,585,4796,9.19
BD-17 63 b,1.34,34.6,4714,9.62
BD+20 2457 b,1.45,1670,4127,9.75
BD+20 2457 c,2.01,1670,4127,9.75
BD+20 274 b,1.3,,4296,9.36
BD+20 594 b,0.241,180.39,5766,11
BD-21 397 c,5.9,23.74,4051,9.8
BD+24 4329 b,38000,34.0705,4483,9.84
BD+24 4697 b,0.5,44.7922,5077,9.74
BD+26 1888 b,1.19,38,4748,9.76
BD+45 564 b,0.83,53.7,,9.5
BD+48 738 b,1,,4414,9.14
BD+48 740 b,1.7,678.933,4534,8.7
BD+49 2561 (AB)b,3000,57.3151,4967,10.13
BD+49 828 b,4.2,,4943,9.38
BD+55 362 b,0.78,52.65,,9.2
BD+60 1417 b,1662,44.957,4993,
BD+63 1405 Ab,2.06,38.09,5073,8.96
BD-Ser 1,,260,,
beta Cir b,6656,30.56,8676,
beta Cnc Ab,1.7,92.99,3990,3.5
bet And b,2.03,60.45,3802,2
beta Pic b,9.93,19.3,8052,3.86
beta Pic c,2.68,19.3,8052,3.86
beta Umi b,1.4,40.14,4126,2.08
BF Ari,,21.4,,
[BHB2007]-1 b,50,166,4060,15
BPS CS 22963-0014 b,4200,67.1162,4085.62,12.143
BRB 17,,133.8,,
BRB 21,,133.8,,
BRB 23,,133.8,,
BRB 27,,143,,
BRB 29,,133.8,,
BRB 4,,121.7,,
BW Scl b,0.0027,93.64,,16.5
CAHA Tau 1,,140,,
CAHA Tau 2,,140,,
CAHA Tau 3,,140,,
Calar 21,,440,,
Calar 22,,133.5,,
Calar 25,,133.5,,
CD-24 407 b,6900,67.7595,5171,9.99
CD-25 11378 b,1855,155.198,5045.85,10.38
CD-26 134 b,2600,87.5564,4876,11.45
CD-35 2722 b,67,21.3,3680,10.98
CD-42 11721 b,835,1398.97,26000,11
CD Cet b,0.0185,8.609,3130,12
CFBDS0059,,13,,
CFBDSIR J145829+101343 A,,23.1,,
CFBDSIR J145829+101343 b,,23.1,,
CFBDSIR J2149-0403,,55.2,,
CFBDS J0133+02312,,22,,
CFBDS J0226-0728,,40,,
CFBDS J0301-1614,,36,,
CFBDS J0959+0236,,150,,
CFBDS J1042+5808,,32,,
CFBDS J1504+1027,,20.4,,
CFBDS J2139+0220,,10.4,,
CFBDS J2139+0220 b,0.66,10.4,,
CFHT-BD-Tau 1,,145,,
CFHT-BD-Tau 17 b,80.5,140,,
CFHT-BD-Tau 18,,140,,
CFHT-BD-Tau 18 b,30.2,140,,
CFHT-BD-Tau 2,,145,,
CFHT-BD-Tau 3,,145,,
CFHT-BD-Tau 4,,145,,
CFHT-BD-Tau 6,,143.99,,
CFHT-BD-Tau 7 b,31.4,140,2823,18.2
CFHT-Hy-20,,32.5,,
CFHT-Hy-21,,29.9,,
CFHT-PL-11,,124.3,,
CFHT-Pl-12,,125,,
CFHT-Pl-12 b,7.75,125,,
CFHT-PL-15,,113.5,,
CFHT-PL-25,,143.5,,
