planet_name,semi_major_axis,star_distance,star_temperature,mag_v
HD 23514 b,360,138.155,6246.3,9.43
HD 23596 Ab,2.694,52,5888,7.24
HD 238090 Ab,0.0932,14.24,3933,10
HD 238914 b,5.7,590,4769,12
HD 23965 b,5.58,43.0822,6228.49,
HD 240210 b,1.33,143,4290,8.33
HD 240237 b,1.9,1500,4361,8.19
HD 24040 b,4.92,46.51,5853,7.52
HD 24040 c,1.3,46.51,5853,7.52
HD 24064 b,1.29,264.4,4052.5,6.75
HD 24085 b,0.034,54.97,6034,
HD 25015 b,6.248,37.45,5160,8.9
HD 25171 Ab,3.02,55,6160,7.79
HD 25723 b,1.49,117.9,4766,5.6
HD 25723 c,4.35,117.9,4766,5.6
HD 25912 b,0.242,49.1661,5920.58,8.19
HD 25912 c,17.848,49.1661,5920.58,8.19
HD 260655 b,0.02933,9.9976,3803,9.8
HD 260655 c,0.04749,9.9976,3803,9.8
HD 26161 Ab,10.087,40.9128,6033,6.88
HD 2638 Ab,0.044,53.71,5192,9.44
HD 2685 b,0.0568,197.98,6801,9.59
HD 27631 b,3.25,45.5,,8.25
HD 27894 b,0.125,42.37,4875,9.36
HD 27894 c,0.198,42.37,4875,9.36
HD 27894 d,5.362,42.37,4875,9.36
HD 27969 b,1.552,68.06,5966,7.65
HD 28109 b,0.1357,140.087,6120,9.4
HD 28109 c,0.308,140.087,6120,9.4
HD 28109 d,0.411,140.087,6120,9.4
HD 28185 b,1.034,39.38,5615,7.81
HD 28185 c,8.5,39.38,5615,7.81
HD 28192 Ab,0.118,49.8063,5919.87,8.07
HD 28254 Ab,2.15,56.2,5664,7.71
HD 283869 b,0.4,47.51,4655,10.6
HD 284149 b,400,108.2,6040,9.63
HD 285507 b,0.0729,41.3,4503,10.5
HD 28678 b,1.24,227,5076,8.54
HD 29021 b,2.28,30.6,5560,7.76
HD 290327 b,3.43,54.9,5552,8.96
HD 29399 Ab,1.913,44.2,4803,
HD 2952 b,1.2,115.2,4844,5.93
HD 29587 b,2.597,27.5166,5688.5,7.28
HD 29985 b,13.39,31.2707,4678,10.03
HD 30177 Ab,3.604,54.7,5580,8.41
HD 30177 Ac,10.258,54.7,5580,8.41
HD 30246 b,2.009,49.0546,5763.03,8.28
HD 30562 b,2.3,26.5,5861,5.77
HD 30669 b,2.69,57,5400,9.11
HD 30774 b,0.06,41.6887,5782.41,7.9
HD 30856 Ab,2,118.1,4982,8.07
HD 31221 b,0.0618,124,7712,8
HD 31253 b,1.26,53.82,5960,7.13
HD 31527 b,0.1253,38.6,,7.48
HD 31527 c,0.2665,38.6,,7.48
HD 31527 d,0.8181,38.6,,7.48
HD 3167 b,0.0186,47.36,5528,8.94
HD 3167 c,0.1841,47.36,5528,8.94
HD 3167 d,0.0763,47.36,5528,8.94
HD 3167 e,0.3885,47.36,5528,8.94
HD 32518 b,0.59,117.4,4580,6.44
HD 32963 b,3.41,,5727,7.6
HD 330075 b,0.039,50.2,6295,9.36
HD 331093 b,1.44,50.265,,8
HD 33142 b,1.075,126,4978,7.96
HD 33142 c,1.96,126,4978,7.96
HD 33142 d,0.452,126,4978,7.96
HD 332231 b,0.1436,80.597,6089,8.56
HD 33283 Ab,0.168,86,5995,8.05
HD 33564 b,1.1,20.98,6250,5.08
HD 33632 Ab,24.1,26.39,6074,6.47
HD 33636 b,3.27,29.6317,5960,7.06
HD 33844 b,1.6,100.9,4827,
HD 33844 c,2.24,100.9,4827,
HD 340935 b,2.22,84.8,5698,9.32
HD 34445 b,2.075,46.5,5836,7.31
HD 34445 c,0.7181,46.5,5836,7.31
HD 34445 d,0.4817,46.5,5836,7.31
HD 34445 e,0.2687,46.5,5836,7.31
HD 34445 f,1.543,46.5,5836,7.31
HD 34445 g,6.36,46.5,5836,7.31
HD 35759 b,0.389,72.5,6060,7.74
HD 360 b,0.98,111.542,4741,5.98
HD 36384 b,1.3,196,3940,6.2
HD 37124 b,0.53364,33,5610,7.68
HD 37124 c,1.71,33,5610,7.68
HD 37124 d,2.807,33,5610,7.68
HD 37605 b,0.2837,44,5448,8.66
HD 37605 c,3.814,44,5448,8.66
HD 3765 b,2.108,17.926,5076.27,7.36
HD 38283 b,1.02,37.7,5945,6.7
HD 38529 Ab,0.131,39.28,5697,5.94
HD 38529 Ac,3.695,39.28,5697,5.94
HD 38677 b,0.1462,62,6196,8
HD 38677 c,0.0733,62,6196,8
HD 38677 d,0.0422,62,6196,8
HD 38677 e,0.0651,62,6196,8
HD 38801 b,1.66,99.4,5207,8.26
HD 38858 b,1.0376,15.2,,5.97
HD 39194 b,0.056,26.4131,5205,8.08
HD 39194 c,0.103,26.4131,5205,8.08
HD 39194 d,0.185,26.4131,5205,8.08
HD 39392 b,1.08,94.2,5951,8.38
HD 39855 Ab,0.041,23.28,5576,
HD 40307 b,0.0475,12.8,4977,7.17
HD 40307 c,0.0812,12.8,4977,7.17
HD 40307 d,0.134,12.8,4977,7.17
HD 40307 e,0.1886,12.8,4977,7.17
HD 40307 f,0.2485,12.8,4977,7.17
HD 40307 g,0.6,12.8,4977,7.17
HD 40781 b,3300,64.0826,5953.51,8.41
HD 40956 b,1.4,118,4869,6.6
HD 40979 Ab,0.846,33.3,6205,6.74
HD 41004 Ab,1.64,42.5,5035,8.65
HD 41004 Bb,0.0177,43.03,5035,12.33
HD 4113 Ab,1.28,41.8727,5655.45,7.88
HD 4113 Ac,50.438,41.8727,5655.45,7.88
HD 42012 b,1.67,37.1,5405,8.44
HD 4203 b,1.164,77.5,5701,8.68
HD 4203 c,,77.5,5701,8.68
HD 4208 b,1.65,33.9,5571,7.79
HD 42618 b,0.554,23.5,5727,6.84
HD 42936 Ab,0.0662,48.9,5138,9.1
HD 4308 b,0.118,21.9,5597,6.54
HD 4313 b,1.19,137,5035,7.83
HD 43197 b,0.92,54.9,5508,8.95
HD 43197 c,8.54,54.9,5508,8.95
HD 43691 Ab,0.238,85.6,6093,8.02
HD 44219 b,1.19,50.43,5752,7.69
HD 44385 b,1.4,214,4400,6.6
HD 45184 b,0.0638,21.9,,6.37
HD 45184 c,0.11,21.9,,6.37
HD 45350 b,1.92,49,5754,7.88
HD 45364 b,0.6813,32.6,5434,8.08
HD 45364 c,0.8972,32.6,5434,8.08
HD 45652 b,0.23,36,5312,8.1
HD 457 b,15.369,55.0375,6114.04,7.73
HD 46375 Ab,0.041,29.5529,5264.378,7.84
HD 46588 b,,21.3,6200,5.4
HD 46588 c,1420,21.3,6200,5.4
HD 47186 b,0.05,37.84,5675,7.8
HD 47186 c,2.395,37.84,5675,7.8
HD 4732 Ab,1.19,56.5,4959,5.9
HD 4732 Ac,4.6,56.5,4959,5.9
HD 47366 b,1.214,80,4866,6.11
HD 47366 c,1.853,80,4866,6.11
HD 47536 b,1.61,121.36,4380,5.25
HD 4760 b,1.14,537.873,4076,7.49
HD 48265 b,1.51,87.4,,8.07
HD 48948 b,0.0652,,,
HD 48948 c,0.1951,,,
HD 48948 d,0.4894,,,
HD 4917 b,,134.4,4802,8.04
HD 49197 b,44,41.6335,6243.16,7.32
HD 49674 b,0.058,40.7,5482,8.1
HD 50499 b,3.93,47.26,6099,7.21
HD 50499 c,9.02,47.26,6099,7.21
HD 50554 b,2.41,31.03,5902,6.86
HD 51400 b,2300,40.2018,5377,
HD 51608 b,0.10805,34.8,,8.17
HD 51608 c,0.38833,34.8,,8.17
HD 52265 b,0.52,28,6159,6.3
HD 5278 Ab,0.12,56.12,6203,8
HD 5278 Ac,0.2416,56.12,6203,8
HD 5319 b,1.75,100,5052,8.05
HD 5319 c,2.071,100,5052,8.05
HD 55696 b,3.18,72,,7.9
HD 5583 b,0.53,221,4830,7.6
HD 5608 Ab,1.911,58.2,4877,5.99
HD 56414 b,0.229,267.74,8500,9.2
HD 564 b,1.2,54,5902,8.29
HD 56957 b,6.426,61.4925,5743,7.56
HD 5891 b,0.76,251,4907,8.25
HD 59686 Ab,1.086,96.8,4658,5.45
HD 60292 b,1.5,318.5,4348,6.9
HD 60532 b,0.77,25.7,6095,4.45
HD 60532 c,1.58,25.7,6095,4.45
HD 60584 b,16.58,30.5196,6564,5.77
HD 62364 b,6.15,52.963,6255,7.3
HD 62549 b,11.842,49.3305,5930.46,77.2
HD 63433 b,0.0719,22.42,5640,7
HD 63433 c,0.1458,22.42,5640,7
HD 63433 d,0.0503,22.42,5640,7
HD 63454 b,0.036,35.8,4841,9.37
HD 63765 b,0.949,32.6,5432,8.1
HD 63935 b,0.083,48.8,5534,8.58
HD 63935 c,0.148,48.8,5534,8.58
HD 64114 b,0.246,31.56,5676,
HD 64121 b,1.51,130,5966,7.4
HD 6434 b,0.14,40.32,5835,7.72
HD 65216 Ab,1.301,35.1205,5623.44,7.98
HD 65216 Ac,5.75,35.1205,5623.44,7.98
HD 66141 b,1.2,80.9,4305,4.39
HD 66428 b,3.395,55,5752,8.25
HD 66428 c,23,55,5752,8.25
HD 67087 b,1.08,88.8,6330,8.05
HD 67087 c,3.86,88.8,6330,8.05
HD 6718 b,3.56,55.9,5745,8.45
HD 68402 b,2.18,78,5950,9.11
HD 68638 b,0.66,33.28,5430,7.48
HD 68988 b,0.0704,58,5767,8.21
HD 68988 c,13.2,58,5767,8.21
HD 69123 b,2.48,75.1,4787,5.8
HD 69830 b,0.0785,12.6,5385,5.95
HD 69830 c,0.186,12.6,5385,5.95
HD 69830 d,0.63,12.6,5385,5.95
HD 70642 b,3.3,28.8,5670,7.17
HD 71827 Ab,0.1228,43.9906,6115.15,7.29
HD 7199 b,1.36,36,5386,8.06
HD 72490 b,1.88,124.22,4934,7.8
HD 72659 b,4.691,49.8,5943.3,7.46
HD 72659 c,13.959,49.8,5943.3,7.46
HD 72780 b,7.3,51.8061,6257.69,7.47
HD 72892 Ab,0.228,72.78,5688,8.83
HD 73256 c,3.8,36.5,5570,8.08
HD 73267 b,2.229,50.4093,5382.91,8.87
HD 73267 c,12.688,50.4093,5382.91,8.87
HD 73344 b,0.1296,35.24,6460,6.5
HD 73344 c,0.343,35.24,6460,6.5
HD 73344 d,6.7,35.24,6460,6.5
HD 73526 b,0.65,99,5590,9
HD 73526 c,1.03,99,5590,9
HD 73534 b,3.15,96.99,4952,8.24
HD 73583 Ab,0.0604,31.6,4511,9.67
HD 73583 Ac,0.1233,31.6,4511,9.67
HD 74014 b,7.07,,,
HD 74156 b,0.2916,64.56,5960,7.62
HD 74156 c,3.82,64.56,5960,7.62
HD 7449 Ab,2.438,39,6024,7.5
HD 7449 Ad,,39,6024,7.5
HD 74698 b,0.121,51.854,5783,
HD 74698 c,4.5,51.854,5783,
HD 75289 Ab,0.046,28.94,6120,6.35
HD 75302 Ab,5.3,30.29,,9.4
HD 75784 b,1.073,68.7,4917,7.84
HD 75784 c,6.5,68.7,4917,7.84
HD 75881 b,22.69,53.6608,6159.25,6.82
HD 75898 b,1.19,80.58,6021,8.04
HD 75898 c,7.39,80.58,6021,8.04
HD 76700 b,0.049,59.7,5726,8.13
HD 76920 b,1.187,184.8,4698,7.8
HD 77338 b,0.0614,40.75,5370,8.63
HD 79181 Ab,0.9,103.335,4862,5.71
HD 7924 b,0.05664,16.8,5177,7.185
HD 7924 c,0.1134,16.8,5177,7.185
HD 7924 d,0.1551,16.8,5177,7.185
HD 79498 Ab,3.13,49,5740,8.03
HD 79555 (AB)b,11793.76,17.7906,4803,7.925
HD 80275 b,23.379,108.968,4692,7.68
HD 80606 b,0.4603,58.4,5645,8.93
HD 80653 b,0.0166,109.86,5950,9.5
HD 80653 c,1.961,109.86,5950,9.5
HD 80869 Ab,2.878,85.6,5837,8.45
HD 80883 b,6.462,34.6011,5177.91,8.58
HD 80913 b,9.95,61.3603,6013.24,7.5
HD 81040 b,1.94,32.56,5700,7.72
HD 81688 b,0.66,88.26,4753,5.41
HD 81817 b,3.233,269.126,4245,4.4
HD 81817 c,2.325,269.126,4245,4.4
HD 82886 b,1.65,125,5112,7.78
HD 8291 b,2570,50.3121,5768,9.1
HD 82943 b,1.19,27.46,5874,6.54
HD 82943 c,0.746,27.46,5874,6.54
HD 82943 d,2.145,27.46,5874,6.54
HD 8326 Ab,0.533,30.71,4914,
HD 83342 b,0.2652,79.6682,6303.91,7.86
HD 83443 b,0.0406,43.54,5460,8.23
HD 83443 c,8,43.54,5460,8.23
HD 8535 Ab,2.45,52.5,6136,7.7
HD 85390 b,1.373,33.96,5186,8.54
HD 85472 b,7.661,75.8274,5280,7.45
HD 8574 b,0.77,44.2,6080,7.12
HD 86065 b,15.947,40.3661,4927.56,9.34
HD 86081 A b,0.039,91,6028,8.73
HD 86226 b,2.73,42.48,,7.93
HD 86226 c,0.049,42.48,,7.93
HD 86264 Ab,2.86,72.6,6210,7.42
HD 86728 b,0.2,14.9202,5742,5.37
HD 8673 Ab,3.02,38.25,6472,7.57
HD 86950 b,2.72,169,4805,7.46
HD 87646 A b,0.117,,5770,8
HD 87646 A c,1.58,,5770,8
HD 8765 b,4,48.816,5566.8,8.14
HD 87883 b,3.6,18.1,4980,7.57
HD 88072 Ab,13.895,35.9098,5785.33,7.55
HD 88133 b,0.047,74.5,5494,8.01
HD 88986   b,0.58,33.37,5861,6.5
HD 89307 b,3.34,30.9,5950,7.06
HD 89345 b,0.105,126.6,5609,9.4
HD 89744 Ab,0.917,38.6364,6249.16,5.74
HD 89744 Ac,8.3,38.6364,6249.16,5.74
HD 89839 b,4.76,17.65,6314,
HD 90156 b,0.25,39.6,5599,6.95
HD 91669 b,1.205,71.725,5185,9.7
HD 9174 b,2.2,78.93,5577,8.4
HD 92788 b,0.97,32.82,5744,7.31
HD 92788 c,10.5,32.82,5744,7.31
HD 93083 b,0.477,28.9,4995,8.3
HD 93351 b,0.035,56.163,5408,9.14
HD 93351 c,11.154,56.163,5408,9.14
HD 93385 Ab,0.0756,43.3475,5971.87,7.49
HD 93385 Ac,0.112,43.3475,5971.87,7.49
HD 93385 Ad,0.257,43.3475,5971.87,7.49
HD 93963 A b,0.02085,82.34,5987,
HD 93963 A c,0.04813,82.34,5987,
HD 9446 b,0.1892,53,5793,8.35
HD 9446 c,0.646,53,5793,8.35
HD 94771 b,3.48,57.618,5631,7.4
HD 94834 Ab,2.74,81,4798,7.61
HD 95086 b,61.7,90.4,7550,7.36
HD 95089 b,1.51,139,5002,7.92
HD 95089 c,,139,5002,7.92
HD 95127 b,1.28,300,4218,8.15
HD 95338 b,0.231,36.9,5212,8.6
HD 95544 Ab,3.166,88.02,5722,8.39
HD 9578 Ab,,56.1136,6070.77,8.21
HD 95872 b,5.2,72.3704,5312,9.9
HD 96063 b,0.99,158,5148,8.37
HD 96167 Ab,1.3,84,5770,8.09
HD 96700 Ab,0.0777,25.6,5847,6.5
HD 96700 Ac,0.141,25.6,5847,6.5
HD 96700 Ad,0.424,25.6,5847,6.5
HD 96992 b,1.24,,4725,8.56
HD 97037 b,6.925,32.413,5874.1,6.81
HD 97048 b,130,183.857,10890,9
HD 97334 B,1970,22.6389,5905,6.41
HD 97334 C,2.85,22.6389,5905,6.41
HD 97619 b,1.6,213,4355,6.882
HD 97658 b,0.08,21.1,5170,6.27
HD 98219 b,1.23,134,4992,8.21
HD 984 b,28,47.1,6315,7.3
HD 98649 b,6.57,40.3,5790,8
HD 98736 Ab,1.864,31,5544,8.52
HD 99109 b,1.105,60.5,5272,9.1
HD 99283 b,1.08,,,
HD 99492 b,,18,4740,7.38
HD 99492 c,0.383,18,4740,7.38
HD 99706 b,2.14,129,4932,7.81
HD 99706 c,,129,4932,7.81
HETE J1900.1-2455 b,0.00609,5000,,18.09
HH 211 b,4.6,280,,
HH 211 c,84,280,,
HHJ 3,,143.1,,
HII 1348 (AB)b,138,127,,12.8
HII 1348 (ABC)b,7872,127,,12.8
HIP 105854 b,0.655,80.84,4780,5.64
HIP 107772 b,0.243,23.66,,
HIP 107773 Ab,0.72,106,4945,5.62
HIP 109384 b,1.134,56.2,5180,9.63
HIP 109600 Ab,0.706,66.3361,5562,9.16
HIP 113103 b,0.06899,46.258,4930,10
HIP 113103 c,0.10479,46.258,4930,10
HIP 114933 b,2.84,102.06,4824,7.25
HIP 116454 Ab,0.098,55.2,5089,10.19
HIP 117179 b,0.788,88.831,5676.42,9.55
HIP 11915 b,4.8,57.3,5760,8.58
HIP 12961 b,0.13,23,,10.31
HIP 14729 b,5.098,28.9068,4362.64,9.38
HIP 14810 b,0.0692,52.9,5485,8.52
HIP 14810 c,0.545,52.9,5485,8.52
HIP 14810 d,1.89,52.9,5485,8.52
HIP 1481 Ab,14.17,40.82,,
HIP 17157 b,13.728,25.5987,4220,9.919
HIP 19976 b,0.234,40.2707,4316,10.4
HIP 19976 c,11.522,40.2707,4316,10.4
HIP 21152 b,17,43.27,,
HIP 29724 b,6.3,63.073,5928.33,8.88
HIP 34222 b,0.492,22.85,,
HIP 35173 b,0.217,33.19,4881,
HIP 35965 b,15.898,50.1677,4836,10.18
HIP 36985 b,7,14.07,,9.9
HIP 38594 Ab,0.256,17.798,3969,9.71
HIP 38594 Ac,3.805,17.798,3969,9.71
HIP 38939 b,1630,18.4839,4683,8.44
HIP 39017 b,22.1,65.9,,7
HIP 41378 b,,116,6199,8.9
HIP 41378 c,,116,6199,8.9
HIP 41378 d,,116,6199,8.9
HIP 41378 e,,116,6199,8.9
HIP 41378 f,1.37,116,6199,8.9
HIP 4845 b,0.176,21.11,,
HIP 48714 b,0.112,10.533,,9.2
HIP 5158 b,0.89,45,4962,10.21
HIP 5158 c,7.7,45,4962,10.21
HIP 54373 b,0.063,18.73,4021,
HIP 54373 c,0.099,18.73,4021,
HIP 54597 b,4,39.547,4799,9.8
HIP 54597 c,2014,39.547,4799,9.8
HIP 55507 b,5.062,25.4893,4171,9.8
HIP 56640 b,4.55,122.76,4769,7.9
HIP 57050 b,0.166,11.02,3358,11.9
HIP 57050 c,0.91,11.02,3358,11.9
HIP 57274 b,0.07,25.92,4640,8.96
HIP 57274 c,0.178,25.92,4640,8.96
HIP 57274 d,1.01,25.92,4640,8.96
HIP 5763 b,0.17,31.93,,9.909
HIP 59173 Ab,5.5,108.9,16293,4.47
HIP 60321 b,1.15,50.9528,4080,11.5
HIP 63242 b,0.565,135,,6.86
HIP 63506 (AB)b,5640,44.0985,4177,11.36
HIP 63734 b,30.02,53.9801,6149,7.74
HIP 64892 b,159,125,10400,6.8
HIP 65040 Ab,0.88,75.2736,5386.93,9.81
HIP 65407 b,0.177,16.74,5460,9.42
HIP 65407 c,0.316,16.74,5460,9.42
HIP 65423 b,228,119.745,5802,9.66
HIP 65426 b,87,109.2,8840,7.01
HIP 65517 b,39,98.5308,5686,9.77
HIP 65891 b,2.794,150.292,5060,6.77
HIP 65 Ab,0.01782,61.89,4590,11.1
HIP 67522 b,0.0753,127.27,5675,9.9
HIP 67522 c,0.1235,127.27,5675,9.9
HIP 67537 b,4.96,112.6,4985,6.44
HIP 67851 b,0.46,65.96,4890,6.17
HIP 67851 c,3.82,65.96,4890,6.17
HIP 68468 Ab,0.029743,87.8,5857,
HIP 68468 Ac,0.665,87.8,5857,
HIP 70849 b,3.99,24,4105,10.36
HIP 71135 b,0.335,32.36,4146,
HIP 73786 b,1260,19,4062,9.81
HIP 73990 Ab,20,125,7450,8.12
HIP 73990 Ac,32,125,7450,8.12
HIP 74752 Ab,1256,133.654,10562,6.75
HIP 74865 b,23,115,6640,9
HIP 74890 b,2.1,91.6,4850,7.05
HIP 75056 Ab,22.5,125.212,8610,7.76
HIP 75092 b,2.02,81.86,4891,7.1
HIP 75202 Ab,1.316,103.678,4972,11.1
HIP 77900 b,3200,,13700,
HIP 78530 b,710,156.7,10500,7.18
HIP 79098 (AB)b,345,154.4,9362,5.9
HIP 79431 b,0.36,14.4,3191,11.34
HIP 79797 Ba,350,52.2,,5.9
HIP 79797 Bb,350,52.2,,5.9
HIP 81208 Cb,23.04,148.7,,
HIP 8541 Ab,3.729,169,4670,7.9
HIP 8541 Ac,0.923,169,4670,7.9
HIP 86221 Ab,0.031,29.4898,,9.22
HIP 88399 b,7.02,49.29,,
HIP 90988 Ab,1.26,94.29,4884,7.8
HIP 91258 b,0.057,44.9,5519,8.65
HIP 94235 Ab,0.0787,58.61,5991,8.3
HIP 948 b,15.037,34.8523,4497,9.91
HIP 96334 b,6.15,38.1421,5730,7.89
HIP 97166 b,0.089,66.08,5198,
HIP 97166 c,0.124,66.08,5198,
HIP 97233 b,2.55,106.5,5020,7.34
HIP 99770 b,16.9,40.74,8000,
HN Lib b,0.1417,6.253,3347,11.3
HN Peg b,795,18.1186,5927.14,6
HQ Tau Ab,0.61,160.75,3467.368,12.02
HR 2562 b,21.2,33.63,,6.114
HR 3549 b,80,92.5,10207,6.01
HR 5183 Ab,18,31.49,5794,6.3
HR 858 Ab,0.048,32,6201,6.4
HR 858 Ac,0.074,32,6201,6.4
HR 858 Ad,0.1027,32,6201,6.4
HR 8799 b,68,39.4,,5.96
HR 8799 c,42.9,39.4,,5.96
HR 8799 d,27,39.4,,5.96
HR 8799 e,16.4,39.4,,5.96
HS 0705+6700 (AB)b,3.27,1241.3,,
HS 0705+6700 (AB)c,4.9,1241.3,,
HS 2201+2610 b,1.7,1400,29300,14.57
HS Psc b,0.0435,37.667,4203,10.9
HT Lup (AB)b,7570,153.533,4506,10.224
HW Vir (AB)c,10,181,,10.9
Hya04,,56,,
Hya12,,44,,
IC 1396 10,,905,,
IC 1396 13,,905,,
IC 1396 18,,905,,
IC 1396 2,,905,,
IC 1396 25,,905,,
IC 1396 26,,905,,
IC 1396 27,,905,,
IC 1396 29,,905,,
IC 1396 3,,905,,
IC 1396 30,,905,,
IC 1396 31,,905,,
IC 1396 32,,905,,
IC 1396 33,,905,,
IC 1396 34,,905,,
IC 1396 35,,905,,
IC 1396 36,,905,,
IC 1396 37,,905,,
IC 1396 39,,905,,
IC 1396 4,,905,,
IC 1396 40,,905,,
IC 1396 42,,905,,
IC 1396 43,,905,,
IC 1396 44,,905,,
IC 1396 45,,905,,
IC 1396 46,,905,,
IC 1396 49,,905,,
IC 1396 5,,905,,
IC 1396 50,,905,,
IC 1396 51,,905,,
IC 1396 52,,905,,
IC 1396 56,,905,,
IC 1396 6,,905,,
IC 1396 7,,905,,
IC 1396 8,,905,,
IC 1396 9,,905,,
IC 348 291,,289,,
IC 348-SMM2E,,240,,
IC 4651 9122 b,2.038,,,
IGR J00291+5934 b,0.00207,4000,,
IGR J17062-6143 b,0.002077,7300,,
IGR J17494-3030 b,0.00565,8000,,
IM Lup b,117,155.8,3900,
Innes' Star b,0.111,12.67,3323,11.516
iot Cap b,1.771,61.7477,5200,4.27
iot Cap c,5.067,61.7477,5200,4.27
iot Dra b,1.448,31.5,4445,3.31
iot Dra c,19.4,31.5,4445,3.31
iot Hor b,0.925,17.17,5997,5.4
IPMBD 25 b,11.75,263.9,3421,20.56
IPMBD 29,,144.7,,
IPMBD 29 b,7.25,144.7,,
IRAS 04381+2540 b,84,140,,
IRAS 16253-2429,,125,,
IRAS 16253-2429 b,62,125,,
ISO 1I,,,,
ISO 2I,,,,
ISO-Oph 138,,130,,
ISO-Oph 160,,138.2,,
ISO-Oph 164,,139.7,,
ISO-Oph 176,,144.6,,
ISO-Oph 200,,144.2,,
ISOY J0535-0447 b,0.0465,395.489,6128,12.3
ITG 15B,,139.6,,
ITG 25B,,139.6,,
IX Draconis b,0.00288,430,,
J03443214+3206524,,300,,
J03443777+3208289,,300,,
J03444496+3208375,,300,,
K2-100 b,0.0296,190.04,6168,
K2-101 b,,189.33,4819,
K2-102 b,,189.17,4695,
K2-103 b,0.131,187.19,4148.21,
K2-104 b,0.023,190.21,3546.46,
K2-105 b,0.0796,199.28,5464,12
K2-106 b,0.01314,246.1,5617,12.1
K2-106 c,0.1091,246.1,5617,12.1
K2-107 b,0.0475,696.95,6061,
K2-108 b,0.0581,484.99,5599,12.33
K2-10 b,,272.36,5533,12.5
K2-110 b,0.1027,116.84,4950,11.91
K2-111 b,0.057,201.7,5775,11.1
K2-111 c,0.1157,201.7,5775,11.1
K2-113 b,0.0642,649.75,5660,13.68
K2-114 b,0.0954,484.8,5044,
K2-115 b,0.1367,418.58,5657,
K2-116 b,0.048,49.46,4348.35,
K2-117 b,0.0189,101.95,3778,
K2-117 c,0.0492,101.95,3778,
K2-118 b,0.245,324.7,4726.29,
K2-119 b,0.0698,369.66,4740,
K2-11 b,0.2257,332.46,5257,13.4
K2-120 Ab,0.078,287.156,4349.9,14.04
K2-121 b,0.0525,170.37,4551,
K2-122 Ab,0.0285,72.0444,4009,13.1
K2-123 b,0.1649,162.36,4035,
K2-124 b,0.049,140.4,3570,
K2-125 b,0.121,124.6,3654.47,
K2-126 b,0.0656,103.29,4339,
K2-127 b,0.0411,723.97,4575,
K2-128 b,0.056,115.01,4469.51,
K2-129 b,0.057,27.82,3459.09,
K2-12 b,0.0802,329.36,5675,
K2-130 b,0.032,118.41,4356.47,
K2-131 b,0.0095,153.7,5245,12
K2-132 b,0.0916,620.41,4840,
K2-133 b,0.03194,75.2,3655,
K2-133 c,0.04341,75.2,3655,
K2-133 d,0.07487,75.2,3655,
K2-133 e,0.1346,75.2,3655,
K2-136 Ab,,59.2474,4500,11.2
K2-136 Ac,,59.2474,4500,11.2
K2-136 Ad,,59.2474,4500,11.2
K2-137 b,0.0058,99.15,3492,15.498
K2-138 b,0.0338,183,5378,12.21
K2-138 c,0.04454,183,5378,12.21
K2-138 d,0.05883,183,5378,12.21
K2-138 e,0.07807,183,5378,12.21
K2-138 f,0.1043,183,5378,12.21
K2-138 g,0.231,183,5378,12.21
K2-139 b,0.1796,154.6,5370,11.7
K2-13 b,0.2114,345.76,5698,
K2-140 b,0.0687,341.6,5705,12.6
K2-141 b,,61,4599,11.5
K2-141 c,,61,4599,11.5
K2-146 b,0.027,79.31,3385,16.25
K2-146 c,0.034,79.31,3385,16.25
K2-147 b,0.0159,88,3672,
K2-148 Ab,0.0454,124.458,4081,13.627
K2-148 Ac,0.0616,124.458,4081,13.627
K2-148 Ad,0.0774,124.458,4081,13.627
K2-149 b,0.083,118,3745,
K2-14 b,0.0627,367.72,3789,
K2-150 b,0.0727,110,3499,
K2-151Bb,0.0373,69.48,3659,
K2-152 b,0.1716,108.7,4044,
K2-153 b,0.0614,143.6,3845,
K2-154 b,0.0405,129.8,4097,
K2-154 c,0.0677,129.8,4097,
K2-155 b,0.0562,82,4258,12.8
K2-155 c,0.0946,82,4258,12.8
K2-155 d,0.1937,82,4258,12.8
K2-156 b,0.0149,150.4,4597,
K2-157 b,,300.88,5456,
K2-158 b,0.0887,198.2,5503,
K2-158 c,0.0622,198.2,5503,
K2-159 b,0.1013,171.9,5425,
K2-15 b,0.091,501.03,5131,
K2-160 b,,318.19,5649,
K2-161 b,,941.09,4972,10.6
K2-162 b,0.0795,125.1,4842,
K2-163 b,,209.67,4937,
K2-164 b,,379.64,5791,
K2-165 b,,135.1,5185,
K2-165 c,,135.1,5185,
K2-165 d,,135.1,5185,
K2-166 b,0.0858,481,,
K2-166 c,,481,,
K2-167 b,,81.08,5908,
K2-168 b,0.0979,245.56,5502.7,12.2
K2-168 c,0.06231,245.56,5502.7,12.2
K2-169 b,,237.35,5548,
K2-16 b,0.0667,338.19,4761,14.298
K2-16 c,0.1229,338.19,4761,14.298
K2-16 d,,338.19,4761,14.298
K2-170 b,,397.26,5748,
K2-170 c,,397.26,5748,
K2-171 b,,616.41,5250,
K2-172 b,,251.51,5569,
K2-172 c,,251.51,5569,
K2-173 Ab,,228.641,5573.35,12.4
K2-174 b,0.126,100.1,4455,
K2-175 Ab,,249.01,5929.25,9.3
K2-176 b,,249.01,5428,
K2-177 b,,499.02,6063,
K2-178 b,,216.08,5525,
K2-179 b,,191.84,5015,
K2-17 b,0.119,125.56,4320,
