planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
sun b,Confirmed,88.0,0.3870993,sun,4.83,5780,4.848e-06,,,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun c,Confirmed,225.0,0.723336,sun,4.83,5780,4.848e-06,,,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun d,Confirmed,365.0,1.000003,sun,4.83,5780,4.848e-06,,,1.0,Conservative HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun e,Confirmed,687.0,1.52371,sun,4.83,5780,4.848e-06,,,1.0,Conservative HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun f,Confirmed,4333.0,5.2029,sun,4.83,5780,4.848e-06,,,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun g,Confirmed,10759.0,9.537,sun,4.83,5780,4.848e-06,,,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun h,Confirmed,30687.0,19.189,sun,4.83,5780,4.848e-06,,,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun i,Confirmed,60190.0,30.0699,sun,4.83,5780,4.848e-06,,,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun j,Aschwaden Prediction,176.0,0.6144818360361536,sun,4.83,5780,4.848e-06,sun b,2 to 1,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun b,Aschwaden Prediction,132.0,0.507243579589644,sun,4.83,5780,4.848e-06,sun b,3 to 2,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun c,Aschwaden Prediction,146.66666666666666,0.5441536572257356,sun,4.83,5780,4.848e-06,sun b,5 to 3,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun b,Aschwaden Prediction,110.0,0.4491889470948308,sun,4.83,5780,4.848e-06,sun b,5 to 4,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun c,Aschwaden Prediction,117.33333333333331,0.4689374063339375,sun,4.83,5780,4.848e-06,sun b,4 to 3,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun b,Aschwaden Prediction,220.0,0.7130430071508223,sun,4.83,5780,4.848e-06,sun b,5 to 2,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun c,Aschwaden Prediction,264.0,0.8051989918447159,sun,4.83,5780,4.848e-06,sun b,3 to 1,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun b,Aschwaden Prediction,450.0,1.1482243273264694,sun,4.83,5780,4.848e-06,sun c,2 to 1,1.0,Conservative HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun c,Aschwaden Prediction,337.5,0.9478382985607432,sun,4.83,5780,4.848e-06,sun c,3 to 2,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun b,Aschwaden Prediction,375.0,1.0168086839811767,sun,4.83,5780,4.848e-06,sun c,5 to 3,1.0,Conservative HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
sun c,Aschwaden Prediction,281.25,0.8393570751375333,sun,4.83,5780,4.848e-06,sun c,5 to 4,1.0,Not in HZ,0.7524967877861932,0.950443247520335,1.6760038078849773,1.7677669529663689,1.766,1.107,0.356,0.31999999999999995
