planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
55 Cnc Af,Confirmed,260.91,0.7733,55 Cnc A,5.95,5250,12.5855,0.564600096
61 Vir b,Confirmed,4.215,0.050201,61 Vir,4.74,5531,8.52,0.788640706
61 Vir c,Confirmed,38.021,0.2175,61 Vir,4.74,5531,8.52,0.788640706
61 Vir d,Confirmed,123.01,0.476,61 Vir,4.74,5531,8.52,0.788640706
75 Cet Ab,Confirmed,696.6,1.912,75 Cet A,5.36,4846,81.5,40.76760679
75 Cet Ac,Confirmed,2052,3.929,75 Cet A,5.36,4846,81.5,40.76760679
82 Eri b,Confirmed,18.32,0.127,82 Eri,4.26,5490,6.06,0.620790766
82 Eri c,Confirmed,43.17,0.225,82 Eri,4.26,5490,6.06,0.620790766
82 Eri d,Confirmed,88.9,0.364,82 Eri,4.26,5490,6.06,0.620790766
82 Eri e,Confirmed,147.02,0.509,82 Eri,4.26,5490,6.06,0.620790766
AU Mic b,Confirmed,8.463446,0.07,AU Mic,8.6,3700,9.79,0.029755372
AU Mic c,Confirmed,18.859023,0.119,AU Mic,8.6,3700,9.79,0.029755372
AU Mic d,Confirmed,12.73812,23.20727704,AU Mic,8.6,3700,9.79,0.029755372
BD-06 1339 c,Confirmed,125.94,0.435,BD-06 1339,6.69,4324,20,0.721207096
BD-06 1339 d,Confirmed,487,1.06,BD-06 1339,6.69,4324,20,0.721207096
BD-06 1339 e,Confirmed,2.3946,0.03,BD-06 1339,6.69,4324,20,0.721207096
BD-08 2823 b,Confirmed,5.6,0.056,BD-08 2823,9.86,4746,42.2,0.173230717
